Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,operating status,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Replit,"Replit turns your ideas into apps, fast. With Replit, anyone—technical or non-technical—can build and deploy fully-functional, production-ready apps directly from their browser, without any installation, setup, or configuration.  Replit enables you to create entire applications from natural language, turning bullet points into working apps in minutes. Its built-in tools, including databases and deployment features, allow you to launch with a single click.  Replit bridges the gap between non-technical and technical users, driving collaboration for everything from product roadmaps and prototypes to custom APIs and internal tools.  Replit empowers everyone to not just consume software but to create it, transforming app development into an accessible, instant, and impactful process. Go from 'why doesn't this app exist?' to building it for yourself.",2016,222020000.0,10,2025-07-15,,Foster City,California,United States,Andreessen Horowitz|Khosla Ventures|Craft Ventures|South Park Commons|Reach Capital,Amjad Masad|Faris Masad|Haya Odeh,175,"""Low-Code Application Development Platform""",https://replit.com/,https://www.linkedin.com/company/repl-it,Active,1.65,54.5,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Scale AI,"Scale AI develops a data-oriented platform that provides training and validation data for artificial intelligence applications. The company's LiDAR, video, and image annotation APIs allow self-driving, drone, and robotics teams at companies like Lyft, OpenAI, Zoox, Pinterest, and Airbnb to focus on building differentiated models vs. labeling data.",2016,15902620000.0,9,2025-06-10,14300000000.0,San Francisco,California,United States,Y Combinator|Accel|NVIDIA|Founders Fund|Wellington Management,Alexandr Wang|Lucy Guo,750,"""AI Data Annotation for Autonomous Systems""",https://scale.com/,https://www.linkedin.com/company/scaleai,Active,0.3,24.0,3.5,20,growth,0.85,3.8,3.5,0.15,3.7
Spring Health,"Spring Health provides mental health solutions for employers and health plans. It uses Precision Mental Healthcare to seamlessly pinpoint and deliver the right fit for each person whether that’s digital support, meditation exercises, coaching, therapy, medication, and beyond.",2016,466500000.0,7,2024-07-31,100000000.0,New York,New York,United States,Northzone|Work-Bench|Tiger Global Management|AlleyCorp|RRE Ventures,Abhishek Chandra|Adam Chekroud|April Koh,3000,"""AI-Driven Mental Health Solutions for Employers""",https://www.springhealth.com/,https://www.linkedin.com/company/spring-health,Active,0.15,20.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Laurel,"Laurel provides automated timesheet management solutions tailored for legal and accounting firms. The platform leverages artificial intelligence to capture user activities seamlessly in the background, allowing professionals to track their time without disrupting their workflow. By streamlining the time tracking process, Laurel enables firms to enhance operational efficiency and improve profitability. The software is designed to alleviate the administrative burden associated with time management, allowing users to focus on their core tasks. Additionally, Laurel continuously evolves its offerings to meet the changing needs of the professional services sector.",2016,155700000.0,8,2025-06-10,80000000.0,San Francisco,California,United States,BoxGroup|IVP|AIX Ventures|Ulu Ventures|First Round Capital,Janesh Gupta|Kourosh Zamani|Matthew Bordas|Ryan Alshak,175,"""AI-Driven Timesheet Management for Professional Services""",https://www.laurel.ai/,https://www.linkedin.com/company/laurel-ai,Active,6.5,15.0,4.0,25,unknown,0.85,4.5,4.0,0.5,4.0
SandboxAQ,"SandboxAQ develops AI and quantum technology products aimed at solving complex challenges. The company integrates knowledge from various fields to create Large Quantitative Models and AI sensing applications. Its focus is on providing practical solutions in areas that require advanced computational techniques. The industries served include financial services, healthcare, and telecommunications.",2016,975000000.0,4,2025-04-04,150000000.0,Palo Alto,California,United States,NVIDIA|Google|Paladin Capital Group|BNP Paribas|S32,Jack Hidary,175,"""AI and Quantum Computing Solutions for Complex Challenges""",https://www.sandboxaq.com/,https://www.linkedin.com/company/sandboxaq,Active,0.1,25.4,3.5,25,growth,0.85,3.8,3.5,0.039,3.5
Constellation,"Invented end-to-end AI compliance solution features built-in verticalized engines designed to streamline the content process for Fortune 500 companies in Auto, Pharma and Banking—with an automated solution that scales both creative and the regulatory approval process. Constellation was named the 65th Fastest-Growing Private Company in America, 2021 EY Entrepreneur of the Year New York Region.",2016,17600000.0,2,2022-12-21,15000000.0,New York,New York,United States,Newlight Partners|Accanto Partners,Diana Lee|Matt Woodruff|Nauman Hafiz,175,"""AI-Driven Compliance Solutions for Regulated Industries""",https://www.helloconstellation.com/,https://www.linkedin.com/company/hello-constellation,Active,0.4,20.0,3.5,25,growth,0.85,3.8,3.2,0.3,3.5
Moveworks,"Moveworks offers an AI assistant that helps employees find information, automate tasks, and improve productivity across enterprise systems. The company's Reasoning Engine leverages public and proprietary LLMs to interpret complex requests, execute multi-step processes, and adapt based on past interactions. Companies like Databricks, Broadcom, Hearst, and Palo Alto Networks use Moveworks to automate support, enhance search, and streamline workflows.",2016,305000000.0,3,2021-06-30,200000000.0,Mountain View,California,United States,Lightspeed Venture Partners|Kleiner Perkins|Sapphire Ventures|Bain Capital Ventures|ICONIQ Growth,Bhavin Shah|Jiang Chen|Vaibhav Nivargi|Varun Singh,750,"""AI-Driven Enterprise Support Automation Solutions""",https://www.moveworks.com/,https://www.linkedin.com/company/moveworksai,Active,1.2,13.0,3.8,20,unknown,0.85,4.0,3.5,0.8,3.7
Apptronik,"Apptronik specializes in developing humanoid robots designed for various real-world applications, providing innovative robotics solutions and manufacturing services tailored to enhance efficiency and productivity in diverse environments.",2016,431724924.0,5,2025-07-16,,Austin,Texas,United States,Google|B Capital|Capital Factory|Scrum Ventures|ARK Investment Management,Bill Helmsing|Jeffrey Cardenas|Nicholas Paine,175,"""Humanoid Robotics for Industrial Automation Solutions""",https://apptronik.com/,https://www.linkedin.com/company/apptronik-inc.,Active,13.1,14.0,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
VAST Data,"VAST Data delivers the data platform at the heart of the AI-powered world, accelerating time-to-insight for workload-intensive applications. The VAST data platform delivers scalable performance, radically simple data management and enhanced productivity. Launched in 2019, VAST is the fastest-selling data infrastructure startup in history. For more information, please visit https://vastdata.com.",2016,381000000.0,7,2023-12-05,118000000.0,New York,New York,United States,Norwest Venture Partners|NVIDIA|Bond|Goldman Sachs|New Enterprise Associates,Alon Horev|Jeff Denworth|Mohd Fairuz Razi bin Sharuddin|Renen Hallak|Shachar Fienblit,750,"""AI-Driven Data Infrastructure Solutions""",http://www.vastdata.com/,https://www.linkedin.com/company/vast-data,Active,1.5,25.0,3.5,20,growth,0.85,3.8,3.5,0.5,3.7
Amperity,"Amperity’s mission is to help people use data to serve the customer. They are revolutionizing the way companies connect, identify, and understand their customers by leveraging artificial intelligence to deliver a truly comprehensive and actionable Customer 360. This view improves marketing performance, fuels accurate customer insights, and enables world-class customer experiences. With Amperity, technical teams are freed from endless integration and data management, and business teams have direct access to the comprehensive data they need to build long-term customer loyalty and drive growth. Amperity serves many of the world’s most loved brands.",2016,187000000.0,6,2021-07-13,100000000.0,Seattle,Washington,United States,Goldman Sachs|Madrona|Liquid 2 Ventures|Tiger Global Management|Acequia Capital (AceCap),Derek Slager|Kabir Shahani,375,"""AI-Driven Customer Data Management Solutions""",https://amperity.com/,https://www.linkedin.com/company/amperity,Active,1.5,22.0,3.8,20,growth,0.85,4.2,3.7,0.8,3.9
