Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,operating status,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Runway,Runway is a global AI research and technology company building foundational AI research models and tools to create multimodal simulators of the world.,2018,544500000.0,7,2025-04-03,308000000.0,New York,New York,United States,General Atlantic|NVIDIA|Google|Coatue|Lux Capital,Alejandro Matamala Ortiz|Anastasis Germanidis|Cristobal Valenzuela Barrera,175,"""Generative AI for Multimodal Content Creation Tools""",https://runwayml.com/,https://www.linkedin.com/company/runwayml,Active,0.3,16.8,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Vanta,Vanta is a trust management platform that simplifies security and compliance processes for organizations. It automates evidence collection for various compliance frameworks and offers continuous control monitoring to manage risk effectively. The platform supports sales teams by providing real-time insights that enhance trust and streamline security reviews.,2018,503000000.0,7,2025-07-23,150000000.0,San Francisco,California,United States,Pear VC|Sequoia Capital|South Park Commons|Craft Ventures|Wellington Management,Christina Cacioppo|Erik Goldman,750,"""Automated Compliance and Security Management Solutions""",https://vanta.com/,https://www.linkedin.com/company/vanta-security,Active,8.5,11.0,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Astronomer,"Astronomer provides a data orchestration platform that focuses on Apache Airflow, enabling users to deploy and manage complex data workflows efficiently. The platform allows sales teams to streamline their data processes, facilitating better decision-making and improved operational efficiency. Astronomer simplifies the integration of various data sources, ensuring that teams can access and analyze information quickly. By automating repetitive tasks, the platform allows users to concentrate on critical analysis and strategic initiatives. This approach enhances productivity and supports data-driven decision-making within organizations.",2018,375900000.0,9,2025-05-01,93000000.0,New York,New York,United States,Insight Partners|Venrock|500 Global|Sierra Ventures|Bain Capital Ventures,Greg Neiheisel|Pete DeJoy|Ry Walker|Tim Brunk,375,"""Data Orchestration and Workflow Automation Solutions""",https://www.astronomer.io/,https://www.linkedin.com/company/astronomer,Active,13.81,29.8,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Kalshi,"Kalshi is a federally regulated financial exchange that allows investors to trade directly on the anticipated outcome of future events. Kalshi’s markets cover a wide range of topics including economics, international affairs, media and entertainment, climate/weather, and public health. Because Kalshi’s market topics can be more specific than other instruments like stocks or bonds, investors can get direct exposure to the events and trends that they are interested in. For example, a Kalshi market on whether a certain free trade agreement will be signed can help retail investors get exposure to emerging markets and fluctuations in international trade. Website: https://kalshi.com",2018,265150000.0,4,2025-06-25,185000000.0,New York,New York,United States,Y Combinator|Bond|Sequoia Capital|Paradigm|SV Angel,Luana Lopes Lara|Tarek Mansour,75,"""Event-Driven Predictive Financial Markets Platform""",https://kalshi.com/,https://www.linkedin.com/company/kalshi,Active,5.7,23.2,3.8,25,growth,0.85,4.5,4.0,2.1,3.9
VERSES,"VERSES is a cognitive computing company building next-generation intelligent software systems modeled after the wisdom and genius of Nature.  Designed around first principles found in science, physics and biology, our flagship product, Genius™, is a toolkit for developers to generate intelligent software agents that enhance existing applications with the ability to reason, plan, and learn.  Imagine a Smarter World that elevates human potential through technology inspired by Nature.",2018,75956367.0,10,2025-07-09,7000331.0,Los Angeles,California,United States,G42|DecentraNet|Pyfera Growth Capital,Capm Petersen|Dan Mapes|Gabriel Rene|Steven Swanson,175,"""Nature-Inspired AI for Intelligent Software Development""",https://www.verses.ai/,https://www.linkedin.com/company/helloverses/,Active,6.46,29.79,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
SuperAnnotate,"SuperAnnotate is the world's leading platform for building the highest-quality training datasets for Generative AI, LLMs, Computer vision, and NLP. With advanced tooling and QA, ML and automation features, data curation, Orchestration, and integrated workforce marketplace, we enable machine learning teams to build and manage incredibly accurate datasets and successful ML pipelines 10x faster.",2018,67000000.0,6,2025-07-15,13500000.0,San Mateo,California,United States,Plug and Play|Base10 Partners|NVIDIA|Berkeley SkyDeck Fund|SmartGateVC,Davit Badalyan|Jason Liang|Tigran Petrosyan|Vahan Petrosyan,175,"""AI Training Data Annotation and Management Solutions""",https://superannotate.com/,https://www.linkedin.com/company/superannotate/,Active,0.25,23.5,3.8,25,growth,0.85,4.2,3.8,0.5,3.9
Abridge,"Abridge provides an AI platform that transforms patient-clinician conversations into structured, billable clinical notes. This technology aims to reduce documentation burdens for clinicians and nurses. The system integrates into existing healthcare workflows and electronic health record systems.",2018,757500000.0,9,2025-06-24,300000000.0,Pittsburgh,Pennsylvania,United States,Andreessen Horowitz|Khosla Ventures|Bessemer Venture Partners|IVP|Lightspeed Venture Partners,Florian Metze|Sandeep Konam|Shivdev Rao,375,"""AI-Driven Clinical Documentation Automation Solutions""",https://www.abridge.com/,https://www.linkedin.com/company/abridgehq,Active,0.5,12.5,3.5,25,unknown,0.85,4.0,3.5,0.2,3.8
Hammerspace,"​Hammerspace is a data orchestration company that provides a global data environment , enabling enterprises to access and manage unstructured data seamlessly across on-premises data centers, public clouds, and edge infrastructures. Hammerspace aims to eliminate data silos and facilitate high-performance, globally distributed data access for applications and users.",2018,156700000.0,2,2025-04-16,100000000.0,San Mateo,California,United States,ARK Investment Management|Altimeter Capital|Prosperity7 Ventures|Pier 88 Investment Partners|ICU Ventures,David Flynn|Douglas Fallstrom|Trond Myklebust,175,"""Global Data Orchestration for Unstructured Data Management""",https://hammerspace.com/,https://www.linkedin.com/company/hammerspace,Active,3.21,22.4,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Abnormal AI,"Abnormal AI is the leading AI-native human behavior security platform, leveraging machine learning to stop sophisticated inbound attacks and detect compromised accounts across email and connected applications.",2018,534000000.0,5,2024-08-06,250000000.0,Las Vegas,Nevada,United States,Insight Partners|Menlo Ventures|Wellington Management|Ballistic Ventures|Greylock,Evan Reiser|Sanjay Jeyakumar,3000,"""AI-Driven Cybersecurity for Email and Applications""",https://abnormal.ai/,https://www.linkedin.com/company/abnormal-ai/,Active,3.5,25.6,3.8,25,growth,0.85,4.2,3.8,0.8,3.9
Aqtual,"Aqtual is a biotechnology diagnostics platform that provides healthcare solutions, novel technology, and biochemistry for chronic disease. The company utilizes a novel cell-free DNA-based platform that evaluates protein regulation, epigenetics, and transcriptomics solely using cell-free DNA fragments found in the blood. The platform also yields efficient and robust real-time analysis of disease and treatment while overcoming the limitations of previous cell-free DNA methodologies.",2018,47000000.0,3,2025-07-10,31000000.0,Hayward,California,United States,Bold Capital Partners|Genoa Ventures|Manta Ray Ventures|Yu Galaxy|BOLD Longevity Growth Fund,Diana Abdueva,30,"""Cell-Free DNA-Based Biotechnology Diagnostics Solutions""",https://aqtual.com/,https://www.linkedin.com/company/aqtual,Active,3.5,16.5,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
