Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,operating status,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
OpenAI,"OpenAI is an AI research and deployment company that conducts research and develops machine learning technologies. OpenAI works on projects that involve autonomous learning and task performance. It serves industries such as technology, healthcare, and education.",2015,61905120000.0,12,2025-03-31,40000000000.0,San Francisco,California,United States,Andreessen Horowitz|Citi|NVIDIA|Khosla Ventures|Sequoia Capital,Andrej Karpathy|Durk Kingma|Elon Musk|Greg Brockman|Ilya Sutskever|John Schulman|Pamela Vagata|Sam Altman|Trevor Blackwell|Vicki Cheung|Wojciech Zaremba,7500,"""Generative AI for Healthcare and Education Solutions""",https://www.openai.com/,https://www.linkedin.com/company/openai,Active,0.1,30.0,2.5,10,unknown,0.85,2.0,1.8,0.15,2.0
Tempus,Tempus is a technology company improving precision medicine through the practical application of artificial intelligence in healthcare. Their platform is designed to analyze and interpret clinical and molecular data to help healthcare providers deliver more personalized and effective treatments.,2015,2285000000.0,15,2025-06-30,650000000.0,Chicago,Illinois,United States,New Enterprise Associates|Google|Franklin Templeton|Ares Management|Novo Holdings,Eric Lefkofsky,3000,"""AI-Driven Precision Medicine Solutions for Healthcare""",https://www.tempus.com/,https://www.linkedin.com/company/tempus-health,Active,0.3,30.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.5
Sword Health,"Sword Health provides AI-driven physical therapy solutions designed to assist users in managing pain from home. The company focuses on musculoskeletal conditions and pelvic health, offering programs that promote recovery and injury prevention. Sword Health utilizes technology to deliver personalized care and support, ensuring users receive tailored treatment plans. By combining clinical expertise with innovative tools, the company aims to enhance patient outcomes and overall health management. Their approach integrates data-driven insights to facilitate continuous improvement in therapy effectiveness.",2015,493466017.0,12,2025-06-17,40000000.0,New York,New York,United States,General Catalyst|Khosla Ventures|Founders Fund|LocalGlobe|Bond,Márcio Colunas|Virgílio Bento,750,"""AI-Driven Digital Physical Therapy Solutions""",http://www.swordhealth.com/,https://www.linkedin.com/company/swordhealth,Active,0.4,13.1,3.0,15,unknown,0.85,4.0,3.5,0.1,3.5
EnsoData,"EnsoData offers AI-driven solutions for sleep medicine diagnostics and data analysis. The company focuses on enhancing the accuracy and efficiency of sleep studies through advanced technology. Its primary product, EnsoSleep, assists sleep clinicians by extracting meaningful insights from historical medical data. EnsoData's tools aim to streamline the diagnostic process, making it easier for healthcare professionals to interpret results and improve patient outcomes. By leveraging artificial intelligence, EnsoData transforms complex data into actionable information, facilitating better decision-making in sleep medicine.",2015,51050000.0,7,2025-06-25,20000000.0,Madison,Wisconsin,United States,Zetta Venture Partners|M25|Supermoon Capital|HealthX Ventures|Venture Investors,Chris Fernandez|Nick Glattard|Sam Rusk,175,"""AI-Driven Sleep Medicine Diagnostic Solutions""",https://www.ensodata.com/,https://www.linkedin.com/company/ensodata,Active,0.5,15.0,3.5,15,unknown,0.85,3.8,3.2,0.3,3.7
XtalPi,"XtalPi is a pharmaceutical technology company that is reinventing the industry’s approach to drug research and development with its Intelligent Digital Drug Discovery and Development (ID4) platform. Through its tightly interwoven quantum mechanics, artificial intelligence, and high-performance cloud computing algorithms, the ID4 platform enables pharmaceutical companies to increase their efficiency, accuracy, and success rate at critical stages of drug R&D. By accelerating the pace of drug discovery and development, XtalPi aims to contribute to a healthier society worldwide. Founded in 2014 by a group of quantum physicists at MIT, XtalPi has since grown into an elite team of researchers with multi-disciplinary expertise in physics, chemistry, pharmaceutical R&D, and algorithm design. XtalPi has received much recognition for its cutting-edge technologies, its innovative solutions, and the breadth of potential applications of its offerings across the pharmaceutical value chain, which has allowed it to gain industry approval and establish strategic partnerships with several top international pharmaceutical companies.",2015,1891536207.0,13,2025-02-26,268606603.0,Cambridge,Massachusetts,United States,HSG|OrbiMed|Tencent|SoftBank Vision Fund|Alphabet,Jian Ma|Lipeng Lai|Shuhao Wen,750,"""AI-Driven Pharmaceutical Drug Discovery Solutions""",http://www.xtalpi.com/,https://www.linkedin.com/company/xtalpi/,Active,0.1,28.0,3.5,25,growth,0.85,3.8,3.2,0.2,3.5
Salt Security,"Salt Security is an API security company based in Palo Alto, California. It provides an API protection platform to prevent attacks, using machine learning and AI to automatically and continuously identify and protect APIs. Deployed in minutes, the platform learns the granular behavior of a company’s APIs and requires no configuration or customization to pinpoint and block API attackers. The company was founded in 2018 and led by co-founder and CEO Roey Eliyahu and by co-founder & COO Michael Nicosia.",2015,271000000.0,8,2022-09-19,,Palo Alto,California,United States,Advent International|Sequoia Capital|Y Combinator|Bossa Invest|DFJ Growth,Michael Nicosia|Omer Sadika|Roey Eliyahu,175,"""AI-Driven API Security Solutions for Enterprises""",https://salt.security/,https://www.linkedin.com/company/saltsecurity,Active,0.5,26.8,3.5,15,growth,0.85,4.5,3.5,0.2,3.5
Deepgram,"Deepgram's voice AI platform provides APIs for speech-to-text, text-to-speech, and language understanding. From medical transcription to autonomous agents, Deepgram is the go-to choice for developers of voice AI experiences.",2015,85920000.0,8,2022-11-26,47000000.0,San Francisco,California,United States,BlackRock|NVIDIA|Madrona|Y Combinator|Bossa Invest,Noah Shutty|Scott Stephenson,175,"""Voice AI Solutions for Speech Recognition and Processing""",https://deepgram.com/,https://www.linkedin.com/company/deepgram,Active,58.4,12.1,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
LILT,"LILT provides an AI-powered translation and localization platform that integrates machine learning models, automation workflows, and human verification to support multilingual content production. It combines contextual AI models with a cloud-based editing environment that learns from translator input in real time. LILT offers modular components—including translation copilots, quality review agents, connectors for content systems, and human verifiers—for managing end-to-end translation workflows. Its system enables custom model fine-tuning, adaptive learning based on verified translations, and automated task routing and analytics. The platform supports integration with existing enterprise tools and accommodates secure deployment options.",2015,162921264.0,7,2025-06-24,24999992.0,Emeryville,California,United States,Sequoia Capital|Wipro Ventures|Sorenson Capital|Redpoint|Zetta Venture Partners,John DeNero|Spence Green,375,"""AI-Driven Translation and Localization Solutions""",https://lilt.com/,https://www.linkedin.com/company/lilthq,Active,28.0,14.8,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Impact Analytics,"Impact Analytics builds 360-degree data science solutions to empower enterprises to turn their data into dollars. The company synthesizes business wisdom from strategy consultants, advanced machine learning from experienced data scientists, and product development by expert application designers and developers to create solutions that enable their clients to win. The team comprises consultants from McKinsey and BCG, data scientists with advanced machine-learning experience, and product developers who have built winning mobility products.",2015,76749982.0,6,2025-05-07,14999982.0,Linthicum Heights,Maryland,United States,Sageview Capital|Blue Cloud Ventures|Vistara Growth|The Argentum Group|Aarin Capital,Prashant Agrawal,750,"""Enterprise AI-Driven Data Analytics Solutions""",http://www.impactanalytics.co/,https://www.linkedin.com/company/impact-analytics,Active,0.2,53.65,3.8,25,growth,0.85,4.5,4.0,2.1,4.0
Lily AI,"Lily AI is the first platform that bridges the gap between brand-speak and customer-speak to drive exponential growth for commerce companies large and small. Lily AI seamlessly injects customer-centric product attributes into site search engines, recommendation systems, SEO/SEM capabilities and item setup processes to drive exponential lifts in traffic, conversion, revenue and brand loyalty. The company is venture-backed and headquartered in Mountain View, CA.",2015,71899988.0,7,2024-03-14,20000000.0,Mountain View,California,United States,Alumni Ventures|New Enterprise Associates|Sorenson Capital|Conductive Ventures|One Way Ventures,Purva Gupta|Sowmiya Chocka Narayanan,175,"""AI-Driven E-Commerce Personalization Solutions""",https://www.lily.ai/,https://www.linkedin.com/company/lilyai,Active,0.5,25.0,3.5,20,growth,0.85,3.8,3.5,0.3,3.7
