Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,operating status,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Harmonic,"Harmonic builds mathematical superintelligence. The company develops Mathematical Superintelligence (MSI), a next-generation artificial intelligence based on mathematical principles that ensures accuracy and eliminate hallucinations.",2023,175000000.0,2,2025-07-09,100000000.0,Palo Alto,California,United States,Sequoia Capital|Paradigm|Index Ventures|Kleiner Perkins|Ribbit Capital,Tudor Achim|Vlad Tenev,30,"""Mathematical AI for Enhanced Decision-Making Accuracy""",https://harmonic.fun/,https://www.linkedin.com/company/harmonicmath,Active,6.94,8.5,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Decagon,"Decagon delivers a conversational AI platform that empowers teams to build, manage, and scale AI agents for omnichannel customer support. The company enables customer experience teams to design and modify AI agent behavior in real-time using natural language, while allowing technical teams to maintain full control over the underlying code. This approach allows brands to quickly launch and continuously refine AI agent interactions, combining speed and flexibility with structured code management. Businesses can deploy solutions within weeks rather than months, without depending on expensive professional services.",2023,231000000.0,4,2025-06-23,131000000.0,San Francisco,California,United States,Andreessen Horowitz|Accel|Bond|Forerunner|A*,Ashwin Sreenivas|Jesse Zhang,175,"""Conversational AI for Omnichannel Customer Support""",https://decagon.ai/,https://www.linkedin.com/company/decagon-ai,Active,10.6,21.5,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
OpenRouter,"OpenRouter is a platform that connects AI applications with large language models and cloud hosting providers, allowing users to optimize for costs, speed, and performance.  The platform supports over 180 AI models, offers a unified API, and includes functionalities like private chat and exploratory data capabilities. OpenRouter sets the new benchmark for large-scale AI inference with its global edge infrastructure, privacy-focused design, real-time accounting, and integrated billing.",2023,40000000.0,2,2025-06-25,40000000.0,New York,New York,United States,Andreessen Horowitz|Menlo Ventures|Sequoia Capital|Transpose Platform Management,Alex Atallah|Louis Vichy,5,"""AI Model Integration and Optimization Platform""",https://openrouter.ai/,https://www.linkedin.com/company/openrouter,Active,11.3,23.9,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Unify,Our vision is to reinvent how outbound sales works.,2023,69909999.0,4,2025-07-15,40000000.0,San Francisco,California,United States,Neo|Emergence Capital|Thrive Capital|Battery Ventures|Abstract,,30,"""AI-Driven Outbound Sales Optimization Software""",https://www.unifygtm.com/?utm_source=crunchbase,https://www.linkedin.com/company/unifygtm/,Active,18.58,20.2,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Liquid AI,"Liquid AI is a technology company that develops artificial intelligence solutions for various applications. It focuses on creating tools for data analysis and decision-making processes. Liquid AI serves industries such as finance, healthcare, and logistics.",2023,293200000.0,3,2024-12-13,250000000.0,Cambridge,Massachusetts,United States,Automattic|Safar Partners|Samsung NEXT|Isai|Bold Capital Partners,Alexander Amini|Daniela Rus|Mathias Lechner|Ramin Hasani,75,"""AI-Driven Data Analytics for Business Decision-Making""",http://liquid.ai/,https://www.linkedin.com/company/liquid-ai-inc,Active,1.87,8.2,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Hippocratic AI,"Hippocratic AI develops safety-focused large language models with a focus on non-diagnostic, patient-facing applications. The majority of language models undergo pre-training using the common crawl of the Internet, which might contain inaccurate and deceptive information. In contrast, Hippocratic AI is significantly prioritizing the acquisition of evidence-based healthcare content through legal means, setting it apart from these language models.",2023,276000000.0,5,2025-01-09,141000000.0,Palo Alto,California,United States,General Catalyst|Andreessen Horowitz|NVIDIA|Kleiner Perkins|SV Angel,Alex Miller|Debajyoti Datta|Kim Parikh|Meenesh Bhimani|Munjal Shah|Saad Godil|Subhabrata Mukherjee|Vishal Parikh,175,"""AI-Driven Patient Safety and Healthcare Communication Solutions""",https://www.hippocraticai.com/,https://www.linkedin.com/company/hippocratic-ai-health,Active,22.4,44.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Trustible,"Trustible provides a platform for managing and governing AI systems, offering tools such as AI inventory, risk management, policy frameworks, assessments, regulatory compliance, and literacy training. It centralizes AI use cases, models, data, and vendors, enabling structured assessments and workflows to address performance, security, ethical, and legal risks while aligning with frameworks like the EU AI Act, NIST AI RMF, and ISO/IEC 42001. The platform supports policy development with templates, automated compliance checks, stakeholder collaboration, and audit trails. It also streamlines proposal, review, approval, and monitoring processes to help organizations deploy AI responsibly, backed by training modules and reporting capabilities.",2023,12439998.0,4,2025-06-10,4600000.0,Arlington,Virginia,United States,Alumni Ventures|VamosVentures|Google for Startups|Harlem Capital|Inner Loop Capital,Andrew Gamino-Cheong|Gerald Iturrioz,5,"""AI Governance and Compliance Management Solutions""",https://www.trustible.ai/,https://www.linkedin.com/company/trustible,Active,0.16,12.0,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Mindtrip,Mindtrip operates as an AI assistant that provide travel data that includes maps with suggested places to visit.,2023,19000000.0,2,2024-09-17,12000000.0,San Francisco,California,United States,Forerunner|Costanoa Ventures|American Express Ventures,Andy Moss|Elsa Kawai|Garrick Toubassi|Jordan Castillo|Katherine Wang|Manish Dubey|Mika Kozma|Rob Davis|Trey Matteson|Vincent Lo,30,"""AI Travel Assistant for Personalized Itinerary Planning""",https://mindtrip.ai/,https://www.linkedin.com/company/mindtripai,Active,1.43,12.5,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Delve,"Delve offers an AI-powered compliance platform that automates evidence collection and audit workflows for frameworks like SOC 2, HIPAA, ISO 27001, GDPR, and PCI DSS. The platform deploys intelligent agents that navigate internal systems, capture screenshots, autofill vendor questionnaires, and continuously monitor infrastructure for compliance gaps. Delve tailors automation to each organization’s context, reducing manual tasks across email, shared drives, and spreadsheets. The solution integrates deeply with company systems, enabling dynamic evidence gathering and real-time alerts to support deal timelines and limit compliance risk.",2023,35800000.0,3,2025-07-22,32000000.0,San Francisco,California,United States,General Catalyst|Insight Partners|Y Combinator|FundersClub|Soma Capital,Karun Kaushik|Selin Kocalar,30,"""AI-Driven Compliance Automation Software Solutions""",https://www.delve.co/,https://www.linkedin.com/company/getdelve,Active,2.52,12.9,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Skild AI,"Skild AI is a startup focused on developing machine learning algorithms specifically for robotics, aiming to create a scalable AI foundation model to enhance robotic intelligence in various environments.  The company aims to address labor shortages with a general-purpose brain for robots that continuously adapts to its environment.",2023,435000000.0,2,2025-06-11,135000000.0,Pittsburgh,Pennsylvania,United States,General Catalyst|Menlo Ventures|Sequoia Capital|NVIDIA|Samsung Electronics,Abhinav Gupta Abhinav Gupta|Deepak Pathak,30,"""Robotics AI for Adaptive Automation Solutions""",https://www.skild.ai/,https://www.linkedin.com/company/skild-ai,Active,12.3,28.1,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Xaira Therapeutics,"Xaira Therapeutics is an integrated biotechnology company driving advances in artificial intelligence to learn the language of life and transform how we treat disease. The company seeks to rethink the drug discovery and development process from end-to-end by bringing together leading talent across three core areas: machine learning research to better understand biology, expansive data generation to power new models, and robust therapeutic product development to treat disease. Xaira is headquartered in the San Francisco Bay Area.",2023,1000000000.0,1,2024-04-23,1000000000.0,South San Francisco,California,United States,Menlo Ventures|Sequoia Capital|Lightspeed Venture Partners|New Enterprise Associates|Lux Capital,Arvind Rajpal|David Baker|Don Kirkpatrick|Hetu Kamisetty|Joe Watchwell Watson|Marc Tessier-Lavigne,75,"""AI-Driven Drug Discovery and Development Solutions""",https://xaira.com/,https://www.linkedin.com/company/xaira-therapeutics,Active,1.5,23.2,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Vellum,"Vellum is a provider of an enterprise development platform for building mission-critical AI products. The company equips cross-functional teams with a centralized control panel to orchestrate end-to-end AI workflows by connecting models, tools, and business data in one place to streamline the path to production. The platform combines workflow orchestration, evaluations and testing, deployment, and monitoring in one system, allowing organizations to build complex AI systems that produce consistent results.",2023,25500000.0,3,2025-07-10,20000000.0,New York,New York,United States,Y Combinator|Pioneer Fund|Rebel Fund|TwentyTwo VC|Leaders Fund,Akash Sharma|Noa Flaherty|Sidd Seethepalli,30,"""AI Workflow Orchestration and Development Platform""",https://www.vellum.ai/,https://www.linkedin.com/company/vellumai,Active,2.8,21.2,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Mercor,"Mercor is a tech company that focuses on helping individuals secure jobs through its AI-driven platform. It leverages artificial intelligence to match job seekers with potential employers by analyzing skills and experiences, reducing the time spent job searching. Users complete a 20-minute interview and can apply to numerous companies simultaneously, streamlining the recruitment process for both candidates and businesses.",2023,133600000.0,3,2025-02-20,100000000.0,San Francisco,California,United States,General Catalyst|Menlo Ventures|Felicis|Link Ventures|SignalRank,Adarsh Hiremath|Brendan Foody|Surya Midha,175,"""AI-Driven Job Matching and Recruitment Solutions""",http://mercor.com/,https://www.linkedin.com/company/mercor-ai,Active,3.25,24.8,4.2,25,growth,0.85,4.5,4.0,1.2,4.0
Sierra,"Sierra is an AI startup that tackles essential business challenges by leveraging Enterprise AI solutions. The company aims to integrate practical AI solutions into established business workflows seamlessly. Its conversational AI agents help companies streamline interactions, resolve issues efficiently, and deliver personalized support.",2023,285000000.0,2,2024-10-28,175000000.0,San Francisco,California,United States,Sequoia Capital|Conviction Partners|Thrive Capital|ICONIQ Capital|Benchmark,Bret Taylor|Clay Bavor,175,"""Enterprise AI Solutions for Business Workflow Optimization""",https://sierra.ai/,https://www.linkedin.com/company/sierra,Active,13.7,40.7,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Landbase,"Landbase offers an AI platform that streamlines go-to-market strategies for sales teams. The platform integrates artificial intelligence with human insights to automate various sales processes. Facilitating data-driven decision-making helps sales representatives identify potential leads and enhance their outreach efforts. Landbase also provides tools that analyze market trends and customer behavior, enabling teams to tailor their approaches effectively. This comprehensive solution aims to improve overall sales performance and efficiency in competitive environments.",2023,42500000.0,3,2025-06-12,30000000.0,San Francisco,California,United States,General Catalyst|8VC|Inovia Capital|A*|Sound Ventures,Daniel Saks|Emily Zhang|Hua Gao,30,"""AI-Driven Sales Automation and Market Insights Platform""",https://www.landbase.com/,https://www.linkedin.com/company/landbase,Active,18.58,20.2,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
AirMDR,"AirMDR uses an AI-powered virtual security analyst for investigating threats, triaging incidents, and executing responses. This innovation significantly enhances the speed and precision of incident investigation and response, while simultaneously reducing costs and alleviating the workload of human security analysts. With a primary focus on an AI virtual analyst, customers elevate their threat detection and intelligence capabilities, ensuring uninterrupted 24/7 incident response.",2023,15500000.0,2,2025-07-09,10500000.0,Menlo Park,California,United States,Foundation Capital|Race Capital|Storm Ventures,Anthony Morris|Kumar Saurabh,30,"""AI-Driven Cybersecurity Incident Response Solutions""",https://airmdr.com/,https://www.linkedin.com/company/airmdr,Active,25.7,19.9,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Pika,"Pika is a startup that is developing an AI-powered platform for editing and generating films from captions and still images. The company aims to revolutionize the video creation and editing process through the integration of AI, offering a user-friendly and easily accessible tool for users.",2023,135000000.0,4,2024-06-05,80000000.0,Palo Alto,California,United States,Neo|Lightspeed Venture Partners|Greycroft|SV Angel|Spark Capital,Chelin Meng|Demi Guo,5,"""AI-Driven Video Editing and Generation Platform""",https://pika.art/,https://www.linkedin.com/company/pika-labs,Active,0.9,30.7,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Jobright,"Jobright is an AI-native job platform providing a career agent that finds, customizes, and submits applications on behalf of job seekers. The company provides the Jobright Agent that improves every aspect of the job search experience, shifting the paradigm from manual, reactive processes to intelligent, proactive career advancement.",2023,7700000.0,2,2025-06-24,3200000.0,Santa Clara,California,United States,Translink Capital|UpHonest Capital|HR Tech Investments LLC,Eric Cheng|Ethan Zheng,5,"""AI-Driven Job Application Automation Platform""",https://jobright.ai/,https://www.linkedin.com/company/jobright-ai,Active,0.66,6.8,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Hedra,"Hedra Studio is a content creation platform that enables users to generate high-quality videos, images, and audio using advanced AI tools. The platform features Character-3, an innovative tool that allows for the creation of expressive and controllable human characters for speaking, singing, and rapping videos. Hedra offers a solution for media creation, empowering users to tell stories through AI-generated content and transformative character models.",2023,42000000.0,2,2025-05-15,32000000.0,San Francisco,California,United States,Andreessen Horowitz|Index Ventures|Abstract|A16Z GAMES Speedrun|Outset Capital,Alexander Bergman|Michael Lingelbach,30,"""AI-Driven Content Creation and Media Production Platform""",https://www.hedra.com/,https://www.linkedin.com/company/hedra-labs,Active,2.1,16.8,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Synfini,"Synfini provides an AI-powered drug discovery platform that supports the full chemistry workflow—from molecular design through synthesis, testing, analysis, and data management. Its suite includes SynPlan for project planning and tracking, SynDesign for generating optimized molecules with minimal data, SynRoute for AI-assisted synthesis pathway planning, SynBuild for automated compound production, and SynDB as a centralized reaction and molecular data repository. The platform enables scientists to collaborate seamlessly, customize workflows, and accelerate hit-to-lead and lead optimization stages with efficiency and precision. Synfini also engages in partnerships with biotech firms like Multispan and O₂nix Bio to apply its integrated design-make-test-analyze system to challenging targets such as GPCRs and cancer‑related enzymes.",2023,8900000.0,3,2025-07-07,8900000.0,Menlo Park,California,United States,Gaingels|Foothill Ventures|Mana Ventures|Trust Ventures|Ferocity Capital,Doug Donzelli|Nathan Collins|Peter Madrid,5,"""AI-Driven Drug Discovery and Development Platform""",http://www.synfini.com/,https://www.linkedin.com/company/synfini-inc,Active,1.5,21.5,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Poolside,"Poolside is an artificial intelligence platform that offers foundation concepts and infrastructure. It aims to unlock humanity's potential by pursuing AGI for software creation, with the fundamental belief that the transitional path for humanity to AGI is by building specific capabilities instead of a general-purpose approach. It also helps users utilize the power of software creation and understand future systems.",2023,626000000.0,3,2024-10-02,500000000.0,San Francisco,California,United States,Bpifrance|NVIDIA|StepStone Group|The Twenty Minute VC|Adams Street Partners,Eiso Kant|Jason Warner,75,"""AI-Driven Software Development Infrastructure Platform""",http://www.poolside.ai/,https://www.linkedin.com/company/poolsideai,Active,0.674,31.7,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Sahara AI,"Sahara AI is a decentralized AI network that enables freely and securely deploying autonomous AI with a high-performance, privacy-first network. Its collaboration network helps individuals and businesses deploy personalized, autonomous AI. It also offers a permissionless and privacy-centric network that allows cross-agent communication, knowledge transfer, and capitalization between individuals.",2023,43000000.0,2,2024-08-14,37000000.0,Los Angeles,California,United States,Alumni Ventures|Sequoia Capital|YZi Labs|Pantera Capital|Samsung NEXT,Sean Ren|Tyler Zhou,30,"""Decentralized AI Network for Autonomous Applications""",https://saharalabs.ai/,https://www.linkedin.com/company/saharalabs-ai,Active,0.44,22.9,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Eudia,"Eudia offers an augmented intelligence platform designed to enhance the efficiency of legal teams. The platform integrates artificial intelligence tools that streamline legal processes, enabling teams to transition from traditional bottlenecks to more productive business drivers. Eudia provides features such as document analysis, contract review, and workflow automation, which assist legal professionals in managing their workload effectively. By leveraging AI technology, Eudia supports legal teams in making informed decisions and improving overall operational efficiency.",2023,105000000.0,1,2025-02-13,105000000.0,Palo Alto,California,United States,General Catalyst|Everywhere Ventures|Sierra Ventures|Floodgate|Hakluyt Capital,Ashish Agrawal|David Van Reyk|Omar Haroun,75,"""AI-Driven Legal Process Automation Solutions""",https://www.eudia.com/,https://www.linkedin.com/company/eudiahq,Active,3.2,9.7,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Genspark,"Genspark is ""AI Agentic Engine"" designed to let AI agents do the heavy lifting for you! A dedicated team of AI agents assist you with search, deep research and various tasks, delivering trustworthy answers and comprehensive results.",2023,160000000.0,2,2025-02-21,100000000.0,Palo Alto,California,United States,Lanchi Ventures,Eric Jing|Kay Zhu,30,"""AI-Driven Research and Task Automation Solutions""",https://genspark.ai/,https://www.linkedin.com/company/gensparkai,Active,6.95,22.6,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Thread AI,Thread AI makes infrastructure simple for enterprises and can drive adoption and innovation in AI.,2023,26000000.0,2,2025-06-05,20000000.0,New York,New York,United States,Plug and Play|Index Ventures|Greycroft|Homebrew|Scale Venture Partners,Angela McNeal|Mayada Gonimah,5,"""AI Infrastructure Solutions for Enterprise Innovation""",https://www.threadai.com/,https://www.linkedin.com/company/thread-ai/,Active,36.0,29.0,4.5,25,growth,0.85,4.5,4.0,2.1,4.0
Udio,Udio is an AI-powered music creation app that offers a platform for instant music creation.,2023,10000000.0,1,2024-04-10,10000000.0,New York,New York,United States,Andreessen Horowitz|UnitedMasters|Mike Krieger|Oriol Vinyals|Will·I. Am,David Ding,5,"""AI-Driven Music Composition and Production Software""",https://www.udio.com/,https://www.linkedin.com/company/udiomusic,Active,0.44,27.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Basis,Basis develops AI agents that assist accountants by automating accounting workflows. The agents integrate with existing systems and adapt to the needs of each engagement. The company serves industries such as finance and accounting.,2023,37600000.0,3,2024-12-17,34000000.0,New York,New York,United States,Khosla Ventures|BoxGroup|Avid Ventures|Jeff Dean|NFDG Ventures,Matt Harpe|Mitchell Troyanovsky,5,"""AI-Driven Accounting Workflow Automation Solutions""",https://www.getbasis.ai/,https://www.linkedin.com/company/get-basis-ai,Active,1.3,28.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Maven AGI,"Maven AGI is a technology company that focuses on the development of modern artificial intelligence (AI) solutions. Their primary aim is to reimagine the customer support experience by leveraging AI to lower costs, improve speed and quality, and drive efficiency. Their AI solutions are designed to unlock human potential by enabling teams to be more productive and giving them time back to do the work only humans can do. They also offer a range of services including customer acquisition strategy and operational planning. The company has a team size of 50 employees, with roles ranging from product management to sales and marketing.",2023,78000000.0,3,2025-06-18,50000000.0,Boston,Massachusetts,United States,Cisco Investments|SE Ventures|Lux Capital|M13|E14 Fund,Eugene Mann|Jonathan Corbin|Sami Shalabi,75,"""AI-Driven Customer Support Automation Solutions""",https://www.mavenagi.com/,http://www.linkedin.com/company/mavenagi,Active,3.5,18.5,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Ema,"Ema offers a Universal AI employee designed to automate complex workflows and improve productivity within organizations. Utilizing the Generative Workflow Engine, Ema integrates seamlessly with enterprise applications, allowing users to delegate repetitive tasks efficiently. The platform combines multiple AI models to ensure accuracy and security, making it a valuable asset for various business functions such as customer support, HR, and finance.",2023,61000000.0,2,2024-07-31,36000000.0,Mountain View,California,United States,Accel|S32|Sozo Ventures|Hitachi Ventures|Venture Highway,Souvik Sen|Surojit Chatterjee,75,"""AI-Driven Workflow Automation for Enterprises""",https://www.ema.co/,https://www.linkedin.com/company/ema-unlimited,Active,19.76,9.7,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
