Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,operating status,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Glean,"Glean develops an AI-based search engine software that connects enterprise data and generates answers through a tool in any company. It provides an AI assistant and enterprise search platform called Workplace Search that connects to internal data sources to help employees find information and answer questions.  The platform uses advanced search, retrieval, augmented generation, and large language models to generate personalized answers grounded in.",2019,768200000.0,6,2025-06-10,150000000.0,Palo Alto,California,United States,General Catalyst|Citi|Khosla Ventures|Sequoia Capital|Craft Ventures,Arvind Jain|Piyush Prahladka|Prafful Goel|Sharvanath Pathak|Tony Gentilcore|TR Vishwanath,750,"""AI-Driven Enterprise Search and Knowledge Management Solutions""",https://www.glean.com/,https://www.linkedin.com/company/gleanwork,Active,3.5,20.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Cowbell,"Cowbell is a pioneer of Adaptive Cyber Insurance, leading the way in providing small and medium-sized enterprises (SMEs) with coverage adaptable to today's and tomorrow's threats and the advanced warning of cyber risk exposures. With its unique AI-based approach to risk selection and pricing, Cowbell's continuous underwriting platform, powered by Cowbell Factors, compresses the insurance process from submission to issue in less than 5 minutes. Backed by 25 prominent global (re)insurance partners, Cowbell serves SMEs across 50 U.S. states, the District of Columbia, and the United Kingdom, assessing businesses with revenues up to $1B globally. Founded in 2019, Cowbell is based in the San Francisco Bay Area and has employees across the U.S., Canada, India, and the U.K.",2019,208300000.0,5,2024-07-26,60000000.0,Pleasanton,California,United States,Anthemis|Permira|Viola FinTech|Nyca Partners|PruVen Capital,Jack Kudale|Prab Reddy|Rajeev Gupta|Trent Cooksley,175,"""Adaptive Cyber Insurance for SMEs Using AI""",https://cowbell.insure/,https://www.linkedin.com/company/cowbell-cyber,Active,3.0,20.0,4.0,25,growth,0.85,4.5,3.8,1.5,4.0
Beeline,"Beeline is a developer of a digital home loan lending platform intended to simplify the process of financing.The company uses both artificial intelligence and personal ""Loan Guides"" to cut down the timing during the home lending process, providing home-buyers and refinancers a solution for more transparency and ease.",2019,14675003.0,4,2025-06-30,6500000.0,Providence,Rhode Island,United States,Atalaya Capital|Ellington Financial|Pipeline Capital|Cavalry Fund,Greg Ellis|Jay Stockwell|Jess Kennedy|Nick Liuzza|Peter Gonzalez,75,"""AI-Driven Digital Mortgage Lending Solutions""",https://makeabeeline.com/,https://www.linkedin.com/company/beelineloans/,Active,2.5,20.0,3.8,20,growth,0.85,4.2,3.5,1.5,3.7
Horizon3.ai,"Horizon3.ai is a cybersecurity company specializing in autonomous penetration testing and vulnerability management. Its flagship platform, NodeZero™, enables organizations to continuously assess their attack surfaces by simulating real-world attack scenarios. NodeZero identifies exploitable vulnerabilities, misconfigurations, and weak credentials across on-premises, cloud, and hybrid environments, providing actionable insights for remediation. The platform operates without the need for persistent or credentialed agents, allowing safe deployment in production environments. It offers features such as NodeZero Kubernetes Pentesting for containerized workloads, NodeZero Tripwires™ for early threat detection, and NodeZero Insights for comprehensive risk analysis. Horizon3.ai collaborates with partners like Tech Mahindra and FedHIVE to extend its services to global enterprises and government agencies, supporting compliance with standards like FedRAMP High.",2019,178500000.0,5,2025-05-22,100000000.0,San Francisco,California,United States,Craft Ventures|New Enterprise Associates|SignalFire|Ridge Ventures|9Yards Capital,Anthony Pillitiere|Snehal Antani,175,"""Autonomous Cybersecurity Penetration Testing Solutions""",https://www.horizon3.ai/,https://www.linkedin.com/company/horizon3ai,Active,1.1,14.4,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
EvenUp,"EvenUp is a legal tech company that develops cloud and AI-based legal case management solutions for personal injury AI and document generation. Its ligation cost software values personal injury claims and automates aspects of personal injury legal practices. The company utilizes its Claims Intelligence Platform™, which is powered by extensive data records, to enhance performance throughout various stages of legal cases.",2019,220500000.0,5,2024-10-08,135000000.0,San Francisco,California,United States,Tribe Capital|Bessemer Venture Partners|Lightspeed Venture Partners|B Capital|Clio,Rami Karabibar|Raymond Mieszaniec|Saam Mashhad,375,"""AI-Driven Legal Case Management Solutions""",https://www.evenuplaw.com/,https://www.linkedin.com/company/evenup,Active,1.0,12.5,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Cyble,"Cyble provides the fastest and most comprehensive coverage across adversaries, infrastructure, exposure, weaknesses, and targets. Cyble empowers governments and enterprises to safeguard their citizens and infrastructure by providing critical intelligence in a timely manner and enabling rapid detection, prioritization, and remediation of security threats through its advanced capabilities for data analysis, expert insights, and automated processes Headquartered in Cupertino, California, with offices in Australia, Malaysia, Singapore, Dubai, Saudi Arabia, and India, Cyble has a global presence. To learn more about Cyble, visit www.cyble.com. w: cyble.com / getodin.com / thecyberexpress.com / amibreached.com",2019,44807000.0,11,2023-11-14,6200000.0,Cupertino,California,United States,Y Combinator|Blackbird Ventures|VentureSouq|King River Capital|Cendana Capital,Beenu Arora|Manish Chachada,375,"""AI-Driven Cybersecurity Threat Intelligence Solutions""",https://cyble.com/,https://www.linkedin.com/company/cyble-global,Active,8.6,24.4,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Pepper,"Pepper is an eCommerce platform for food distributors, convenience stores, and other marketplaces. The company's eCommerce platform, which features a suite of AI-powered tools for the distributor sales rep and customers to grow their market share, enables food distributors to find new customers, deepen relationships, grow revenue, and run more efficiently.",2019,60000000.0,5,2024-05-13,30000000.0,New York,New York,United States,Gaingels|BoxGroup|Index Ventures|ICONIQ Growth|Bossa Invest,Bowie Cheung|Chetan Narain|Ivana Tesanovic,175,"""AI-Driven E-Commerce Solutions for Food Distribution""",https://www.usepepper.com/,https://www.linkedin.com/company/usepepper/,Active,4.0,29.3,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Hayden AI,"Hayden AI’s mission is to develop cutting-edge artificial intelligence and machine learning technologies that enable the automated enforcement of bus lanes and stops—accelerating public transit, improving street safety, and advancing a more sustainable urban future.",2019,193407912.0,9,2024-07-10,90000000.0,San Francisco,California,United States,Alumni Ventures|FJ Labs|Autotech Ventures|Foothill Ventures|Global Brain Corporation,Bo Shen|Chris Carson|Michael Byrne|Vaibhav Ghadiok,175,"""AI-Driven Urban Transit Optimization Solutions""",http://www.hayden.ai/,https://www.linkedin.com/company/haydenaitech,Active,5.0,14.5,3.8,25,unknown,0.85,4.5,4.0,2.1,4.0
Castellum.AI,"Castellum.AI is a developer of a compliance database platform to provide financial crime compliance. The company provides a financial crimes compliance platform with in-house risk data, AML/KYC screening, and AI agents. Used by community banks, sponsor banks, crypto exchanges, and financial services firms, Castellum.AI enables compliance teams to scale their operations while maintaining precision, accountability, and oversight.",2019,12876543.0,3,2025-07-08,8500000.0,New York,New York,United States,Framework Venture Partners|Newfund|Curql|Spider Capital|Remarkable Ventures,Julian Vasilkoski|Peter Piatetsky,30,"""AI-Driven Financial Crime Compliance Solutions""",https://www.castellum.ai/,https://www.linkedin.com/company/castellum-ai/,Active,2.5,20.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Kraftful,Kraftful provides business owners with an AI analysis of customer feedback to learn what they need and how to improve the product.,2019,3150000.0,4,2022-02-08,2000000.0,San Francisco,California,United States,Y Combinator|Samsung NEXT|Leadout Capital|Diverse Angels|f7 Ventures,Nicky Leach|Yana Welinder,5,"""AI-Driven Customer Feedback Analytics Platform""",https://www.kraftful.com/,https://www.linkedin.com/company/kraftful,Active,8.5,21.8,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Rilla,"Rillavoice is the leading virtual ridealong software for outside sales and service. Think sales people in solar, roofing, kitchens, baths, HVAC, plumbing, banking, telco, CPG, medical, and more. They talk to customers face to face. They record their conversations with the Rillavoice mobile app. And our AI automatically transcribes, analyzes and gives them feedback to help them improve their sales and service.",2019,3879000.0,4,2022-12-01,3700000.0,New York,New York,United States,LAUNCH|Creative Destruction Lab (CDL)|Comma Capital|Broom Ventures|(ERA) Entrepreneurs Roundtable Accelerator,Christopher Martin|Lukasz Niepolski|Michael Castellanos|Sebastian Jimenez|Tomasz Bachosz,30,"""AI-Driven Sales Conversation Analytics Software""",https://www.rilla.com/,https://www.linkedin.com/company/rilla/,Active,1.0,20.6,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Iambic,"The Iambic AI-driven platform was created to address the most challenging design problems in drug discovery, leveraging technology innovations such as Enchant, a multi-modal transformer model that predicts clinical outcomes from the earliest stages of discovery, and NeuralPLexer, the best-in-class predictor of protein and protein-ligand structures. The integration of physics principles into the platform’s AI architectures improves data efficiency and allows molecular models to venture widely across the space of possible chemical structures. The platform enables identification of novel chemical modalities for engaging difficult-to-address biological targets, discovery of defined product profiles that optimize therapeutic window, and multi-parameter optimization for highly differentiated development candidates. Through close integration of AI-generated molecular designs with automated experimental execution, Iambic completes design-make-test cycles on a weekly cadence.",2019,203000000.0,3,2024-04-24,50000000.0,San Diego,California,United States,Alumni Ventures|Sequoia Capital|NVIDIA|Nexus Venture Partners|Coatue,Fred Manby|Thomas Miller,75,"""AI-Driven Drug Discovery and Design Platform""",https://www.iambic.ai/,https://www.linkedin.com/company/iambic-ai,Active,0.254,39.6,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
