Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
OpenAI,https://www.crunchbase.com/organization/openai,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, SaaS","San Francisco, California, United States",2015-12-11,day,61905120000,USD,61905120000,OpenAI creates artificial intelligence technologies to assist with tasks and provide support for human activities.,1,,1,12,2025-03-31,40000000000,USD,40000000000,57600120000,USD,57600120000,"Andreessen Horowitz, Citi, NVIDIA, Khosla Ventures, Sequoia Capital",10,42,11,"Andrej Karpathy, Durk Kingma, Elon Musk, Greg Brockman, Ilya Sutskever, John Schulman, Pamela Vagata, Sam Altman, Trevor Blackwell, Vicki Cheung, Wojciech Zaremba",5001-10000,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.openai.com,https://x.com/OpenAI,https://www.facebook.com/openai,https://www.linkedin.com/company/openai,"OpenAI is an AI research and deployment company that conducts research and develops machine learning technologies. OpenAI works on projects that involve autonomous learning and task performance. It serves industries such as technology, healthcare, and education."
Tempus,https://www.crunchbase.com/organization/tempus-3,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical, Precision Medicine","Chicago, Illinois, United States",2015-08-01,month,2285000000,USD,2285000000,Tempus is a tech company that applies artificial intelligence to improve precision medicine in healthcare.,13,,12,15,2025-06-30,650000000,USD,650000000,910000000,USD,910000000,"New Enterprise Associates, Google, Franklin Templeton, Ares Management, Novo Holdings",6,11,1,Eric Lefkofsky,1001-5000,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.tempus.com,https://www.twitter.com/tempusai,https://www.facebook.com/tempusai,https://www.linkedin.com/company/tempus-health,Tempus is a technology company improving precision medicine through the practical application of artificial intelligence in healthcare. Their platform is designed to analyze and interpret clinical and molecular data to help healthcare providers deliver more personalized and effective treatments.
Sword Health,https://www.crunchbase.com/organization/sword-health,"Artificial Intelligence (AI), Health Care, Medical, mHealth, Therapeutics","New York, New York, United States",2015-01-01,year,493466017,USD,493466017,Sword Health offers AI-powered physical therapy solutions for pain recovery at home.,285,,243,12,2025-06-17,40000000,USD,40000000,366013886,USD,366013886,"General Catalyst, Khosla Ventures, Founders Fund, LocalGlobe, Bond",6,26,2,"Márcio Colunas, Virgílio Bento",501-1000,"Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",,,Active,For Profit,http://www.swordhealth.com,https://x.com/swordhealth,https://www.facebook.com/SWORDHealth1,https://www.linkedin.com/company/swordhealth,"Sword Health provides AI-driven physical therapy solutions designed to assist users in managing pain from home. The company focuses on musculoskeletal conditions and pelvic health, offering programs that promote recovery and injury prevention. Sword Health utilizes technology to deliver personalized care and support, ensuring users receive tailored treatment plans. By combining clinical expertise with innovative tools, the company aims to enhance patient outcomes and overall health management. Their approach integrates data-driven insights to facilitate continuous improvement in therapy effectiveness."
EnsoData,https://www.crunchbase.com/organization/ensodata,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Software","Madison, Wisconsin, United States",2015-01-01,year,51050000,USD,51050000,EnsoData is a healthcare technology company that offers AI-powered software to improve sleep study management and diagnostics.,493,,425,7,2025-06-25,20000000,USD,20000000,51050000,USD,51050000,"Zetta Venture Partners, M25, Supermoon Capital, HealthX Ventures, Venture Investors",8,16,3,"Chris Fernandez, Nick Glattard, Sam Rusk",101-250,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.ensodata.com,https://x.com/ensodata,https://www.facebook.com/ensodata,https://www.linkedin.com/company/ensodata,"EnsoData offers AI-driven solutions for sleep medicine diagnostics and data analysis. The company focuses on enhancing the accuracy and efficiency of sleep studies through advanced technology. Its primary product, EnsoSleep, assists sleep clinicians by extracting meaningful insights from historical medical data. EnsoData's tools aim to streamline the diagnostic process, making it easier for healthcare professionals to interpret results and improve patient outcomes. By leveraging artificial intelligence, EnsoData transforms complex data into actionable information, facilitating better decision-making in sleep medicine."
XtalPi,https://www.crunchbase.com/organization/xtalpi,"Artificial Intelligence (AI), Biotechnology, Pharmaceutical","Cambridge, Massachusetts, United States",2015-01-01,year,1891536207,USD,1891536207,XtalPi is a pharmaceutical technology company that is reinventing drug discovery by enabling dry lab predictions with wet lab validation.,727,,636,13,2025-02-26,2088000000,HKD,268606603,1199465948,USD,1199465948,"HSG, OrbiMed, Tencent, SoftBank Vision Fund, Alphabet",12,26,3,"Jian Ma, Lipeng Lai, Shuhao Wen",501-1000,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,http://www.xtalpi.com/,https://twitter.com/xtalpi,,https://www.linkedin.com/company/xtalpi/,"XtalPi is a pharmaceutical technology company that is reinventing the industry’s approach to drug research and development with its Intelligent Digital Drug Discovery and Development (ID4) platform. Through its tightly interwoven quantum mechanics, artificial intelligence, and high-performance cloud computing algorithms, the ID4 platform enables pharmaceutical companies to increase their efficiency, accuracy, and success rate at critical stages of drug R&D. By accelerating the pace of drug discovery and development, XtalPi aims to contribute to a healthier society worldwide. Founded in 2014 by a group of quantum physicists at MIT, XtalPi has since grown into an elite team of researchers with multi-disciplinary expertise in physics, chemistry, pharmaceutical R&D, and algorithm design. XtalPi has received much recognition for its cutting-edge technologies, its innovative solutions, and the breadth of potential applications of its offerings across the pharmaceutical value chain, which has allowed it to gain industry approval and establish strategic partnerships with several top international pharmaceutical companies."
Salt Security,https://www.crunchbase.com/organization/saltsecurity,"Artificial Intelligence (AI), Cyber Security, Developer APIs, Machine Learning","Palo Alto, California, United States",2015-01-01,year,271000000,USD,271000000,Salt Security provides an API protection platform designed to prevent attacks by leveraging machine learning and AI.,809,,710,8,2022-09-19,,,,271000000,USD,271000000,"Advent International, Sequoia Capital, Y Combinator, Bossa Invest, DFJ Growth",7,18,3,"Michael Nicosia, Omer Sadika, Roey Eliyahu",101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://salt.security,https://twitter.com/SaltSecurity,https://www.facebook.com/SaltAPIProtectionInc,https://www.linkedin.com/company/saltsecurity,"Salt Security is an API security company based in Palo Alto, California. It provides an API protection platform to prevent attacks, using machine learning and AI to automatically and continuously identify and protect APIs. Deployed in minutes, the platform learns the granular behavior of a company’s APIs and requires no configuration or customization to pinpoint and block API attackers. The company was founded in 2018 and led by co-founder and CEO Roey Eliyahu and by co-founder & COO Michael Nicosia."
Deepgram,https://www.crunchbase.com/organization/deepgram,"Artificial Intelligence (AI), Data Collection and Labeling, Developer APIs, Natural Language Processing, Speech Recognition","San Francisco, California, United States",2015-01-01,year,85920000,USD,85920000,"Deepgram specializes in providing AI-powered speech-to-text technology that offers audio intelligence, text-to-speech, and voice agent API.","1,082",,946,8,2022-11-26,47000000,USD,47000000,85920000,USD,85920000,"BlackRock, NVIDIA, Madrona, Y Combinator, Bossa Invest",8,21,2,"Noah Shutty, Scott Stephenson",101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://deepgram.com/,https://twitter.com/DeepgramAI,https://www.facebook.com/deepgram,https://www.linkedin.com/company/deepgram,"Deepgram's voice AI platform provides APIs for speech-to-text, text-to-speech, and language understanding. From medical transcription to autonomous agents, Deepgram is the go-to choice for developers of voice AI experiences."
LILT,https://www.crunchbase.com/organization/lilt,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Translation Service","Emeryville, California, United States",2015-01-01,year,162921264,USD,162921264,LILT develops enterprise translation and content creation solutions to provide professional translation services to organizations.,"1,119",,977,7,2025-06-24,24999992,USD,24999992,162271264,USD,162271264,"Sequoia Capital, Wipro Ventures, Sorenson Capital, Redpoint, Zetta Venture Partners",5,10,2,"John DeNero, Spence Green",251-500,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://lilt.com,https://www.twitter.com/lilthq,https://www.facebook.com/liltinc,https://www.linkedin.com/company/lilthq,"LILT provides an AI-powered translation and localization platform that integrates machine learning models, automation workflows, and human verification to support multilingual content production. It combines contextual AI models with a cloud-based editing environment that learns from translator input in real time. LILT offers modular components—including translation copilots, quality review agents, connectors for content systems, and human verifiers—for managing end-to-end translation workflows. Its system enables custom model fine-tuning, adaptive learning based on verified translations, and automated task routing and analytics. The platform supports integration with existing enterprise tools and accommodates secure deployment options."
Impact Analytics,https://www.crunchbase.com/organization/impact-analytics-3,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Management Consulting","Linthicum Heights, Maryland, United States",2015-01-01,year,76749982,USD,76749982,Impact Analytics provides AI-native SaaS solutions and consulting services to help companies strategize and implement data-driven decisions.,"1,168",,"1,020",6,2025-05-07,14999982,USD,14999982,76749982,USD,76749982,"Sageview Capital, Blue Cloud Ventures, Vistara Growth, The Argentum Group, Aarin Capital",5,7,1,Prashant Agrawal,501-1000,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,http://www.impactanalytics.co,https://www.twitter.com/impactanalytic,https://www.facebook.com/p/Impact-Analytics-100071607097508,https://www.linkedin.com/company/impact-analytics,"Impact Analytics builds 360-degree data science solutions to empower enterprises to turn their data into dollars. The company synthesizes business wisdom from strategy consultants, advanced machine learning from experienced data scientists, and product development by expert application designers and developers to create solutions that enable their clients to win. The team comprises consultants from McKinsey and BCG, data scientists with advanced machine-learning experience, and product developers who have built winning mobility products."
Lily AI,https://www.crunchbase.com/organization/onelook-2,"Artificial Intelligence (AI), E-Commerce, Fashion","Mountain View, California, United States",2015-01-01,year,71899988,USD,71899988,Lily AI is the platform that bridges the gap between brand-speak and customer-speak to drive growth for commerce companies.,"1,213",,"1,061",7,2024-03-14,20000000,USD,20000000,71899988,USD,71899988,"Alumni Ventures, New Enterprise Associates, Sorenson Capital, Conductive Ventures, One Way Ventures",5,18,2,"Purva Gupta, Sowmiya Chocka Narayanan",101-250,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Science and Engineering, Software",,,Active,For Profit,https://www.lily.ai,https://x.com/lilyai_,https://www.facebook.com/StylesbyLilyAI/,https://www.linkedin.com/company/lilyai,"Lily AI is the first platform that bridges the gap between brand-speak and customer-speak to drive exponential growth for commerce companies large and small. Lily AI seamlessly injects customer-centric product attributes into site search engines, recommendation systems, SEO/SEM capabilities and item setup processes to drive exponential lifts in traffic, conversion, revenue and brand loyalty. The company is venture-backed and headquartered in Mountain View, CA."
