Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Replit,https://www.crunchbase.com/organization/replit,"Artificial Intelligence (AI), Cloud Computing, Developer Tools, Information Technology, Software","Foster City, California, United States",2016-01-01,year,222020000,USD,222020000,Replit is the most secure agentic platform for production-ready apps.,9,,8,10,2025-07-15,,,,222020000,USD,222020000,"Andreessen Horowitz, Khosla Ventures, Craft Ventures, South Park Commons, Reach Capital",5,25,3,"Amjad Masad, Faris Masad, Haya Odeh",101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://replit.com,https://twitter.com/replit,https://www.facebook.com/replit,https://www.linkedin.com/company/repl-it,"Replit turns your ideas into apps, fast. With Replit, anyone—technical or non-technical—can build and deploy fully-functional, production-ready apps directly from their browser, without any installation, setup, or configuration.  Replit enables you to create entire applications from natural language, turning bullet points into working apps in minutes. Its built-in tools, including databases and deployment features, allow you to launch with a single click.  Replit bridges the gap between non-technical and technical users, driving collaboration for everything from product roadmaps and prototypes to custom APIs and internal tools.  Replit empowers everyone to not just consume software but to create it, transforming app development into an accessible, instant, and impactful process. Go from 'why doesn't this app exist?' to building it for yourself."
Scale AI,https://www.crunchbase.com/organization/scale-2,"Artificial Intelligence (AI), Data Collection and Labeling, Generative AI, Image Recognition, Machine Learning","San Francisco, California, United States",2016-08-25,day,15902620000,USD,15902620000,Scale AI provides a data-oriented platform that assists in the development of AI applications.,49,,41,9,2025-06-10,14300000000,USD,14300000000,15902620000,USD,15902620000,"Y Combinator, Accel, NVIDIA, Founders Fund, Wellington Management",7,44,2,"Alexandr Wang, Lucy Guo",501-1000,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://scale.com,https://x.com/scale_ai,https://www.facebook.com/scaleapi,https://www.linkedin.com/company/scaleai,"Scale AI develops a data-oriented platform that provides training and validation data for artificial intelligence applications. The company's LiDAR, video, and image annotation APIs allow self-driving, drone, and robotics teams at companies like Lyft, OpenAI, Zoox, Pinterest, and Airbnb to focus on building differentiated models vs. labeling data."
Spring Health,https://www.crunchbase.com/organization/spring-care,"Artificial Intelligence (AI), Health Care, Mental Health, mHealth, Wellness","New York, New York, United States",2016-01-01,year,466500000,USD,466500000,Spring Health provides mental health solution for employers and health plans.,145,,119,7,2024-07-31,100000000,USD,100000000,466500000,USD,466500000,"Northzone, Work-Bench, Tiger Global Management, AlleyCorp, RRE Ventures",6,24,3,"Abhishek Chandra, Adam Chekroud, April Koh",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",,,Active,For Profit,https://www.springhealth.com,https://twitter.com/spring_health,https://www.facebook.com/springhealth,https://www.linkedin.com/company/spring-health,"Spring Health provides mental health solutions for employers and health plans. It uses Precision Mental Healthcare to seamlessly pinpoint and deliver the right fit for each person whether that’s digital support, meditation exercises, coaching, therapy, medication, and beyond."
Laurel,https://www.crunchbase.com/organization/ping-6,"Artificial Intelligence (AI), Legal, Machine Learning, Professional Services, SaaS, Software","San Francisco, California, United States",2016-01-01,year,155700000,USD,155700000,Laurel automates timesheet management for legal and accounting firms using AI.,157,,131,8,2025-06-10,80000000,USD,80000000,135700000,USD,135700000,"BoxGroup, IVP, AIX Ventures, Ulu Ventures, First Round Capital",7,24,4,"Janesh Gupta, Kourosh Zamani, Matthew Bordas, Ryan Alshak",101-250,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.laurel.ai,https://x.com/getlaurel,https://www.facebook.com/getlaurel,https://www.linkedin.com/company/laurel-ai,"Laurel provides automated timesheet management solutions tailored for legal and accounting firms. The platform leverages artificial intelligence to capture user activities seamlessly in the background, allowing professionals to track their time without disrupting their workflow. By streamlining the time tracking process, Laurel enables firms to enhance operational efficiency and improve profitability. The software is designed to alleviate the administrative burden associated with time management, allowing users to focus on their core tasks. Additionally, Laurel continuously evolves its offerings to meet the changing needs of the professional services sector."
SandboxAQ,https://www.crunchbase.com/organization/sandboxaq,"Artificial Intelligence (AI), Cyber Security, Information Technology, Quantum Computing, SaaS","Palo Alto, California, United States",2016-01-01,year,975000000,USD,975000000,"SandboxAQ develops AI and quantum technology solutions that enhance biopharma, cybersecurity, and materials science.",205,,171,4,2025-04-04,150000000,USD,150000000,950000000,USD,950000000,"NVIDIA, Google, Paladin Capital Group, BNP Paribas, S32",2,29,1,Jack Hidary,101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://www.sandboxaq.com,https://x.com/sandboxaq,,https://www.linkedin.com/company/sandboxaq,"SandboxAQ develops AI and quantum technology products aimed at solving complex challenges. The company integrates knowledge from various fields to create Large Quantitative Models and AI sensing applications. Its focus is on providing practical solutions in areas that require advanced computational techniques. The industries served include financial services, healthcare, and telecommunications."
Constellation,https://www.crunchbase.com/organization/constellation-agency,"Artificial Intelligence (AI), Generative AI, SaaS, Software","New York, New York, United States",2016-05-01,month,17600000,USD,17600000,Empowering creative brilliance in highly regulated industries,252,,213,2,2022-12-21,15000000,USD,15000000,17600000,USD,17600000,"Newlight Partners, Accanto Partners",1,2,3,"Diana Lee, Matt Woodruff, Nauman Hafiz",101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.helloconstellation.com,https://twitter.com/hello_const,https://www.facebook.com/hello.constellation,https://www.linkedin.com/company/hello-constellation,"Invented end-to-end AI compliance solution features built-in verticalized engines designed to streamline the content process for Fortune 500 companies in Auto, Pharma and Banking—with an automated solution that scales both creative and the regulatory approval process. Constellation was named the 65th Fastest-Growing Private Company in America, 2021 EY Entrepreneur of the Year New York Region."
Moveworks,https://www.crunchbase.com/organization/moveworks,"Artificial Intelligence (AI), Cloud Computing, Information Technology, Technical Support","Mountain View, California, United States",2016-06-07,day,305000000,USD,305000000,Moveworks offers an AI-powered assistant designed to enhance workflows and automate tasks within enterprises.,268,,229,3,2021-06-30,200000000,USD,200000000,305000000,USD,305000000,"Lightspeed Venture Partners, Kleiner Perkins, Sapphire Ventures, Bain Capital Ventures, ICONIQ Growth",5,10,4,"Bhavin Shah, Jiang Chen, Vaibhav Nivargi, Varun Singh",501-1000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",,,Active,For Profit,https://www.moveworks.com,,https://www.facebook.com/moveworksAI,https://www.linkedin.com/company/moveworksai,"Moveworks offers an AI assistant that helps employees find information, automate tasks, and improve productivity across enterprise systems. The company's Reasoning Engine leverages public and proprietary LLMs to interpret complex requests, execute multi-step processes, and adapt based on past interactions. Companies like Databricks, Broadcom, Hearst, and Palo Alto Networks use Moveworks to automate support, enhance search, and streamline workflows."
Apptronik,https://www.crunchbase.com/organization/apptronik,"Artificial Intelligence (AI), Industrial Automation, Machinery Manufacturing, Robotics","Austin, Texas, United States",2016-01-01,day,431724924,USD,431724924,Apptronik designs and builds human-centered robotics systems.,293,,250,5,2025-07-16,,,,431500000,USD,431500000,"Google, B Capital, Capital Factory, Scrum Ventures, ARK Investment Management",3,19,3,"Bill Helmsing, Jeffrey Cardenas, Nicholas Paine",101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",,,Active,For Profit,https://apptronik.com,https://x.com/apptronik,https://www.facebook.com/apptronik,https://www.linkedin.com/company/apptronik-inc.,"Apptronik specializes in developing humanoid robots designed for various real-world applications, providing innovative robotics solutions and manufacturing services tailored to enhance efficiency and productivity in diverse environments."
VAST Data,https://www.crunchbase.com/organization/vast-data,"Artificial Intelligence (AI), Database, Software","New York, New York, United States",2016-01-01,month,381000000,USD,381000000,"VAST Data offers a unified data platform that integrates storage, database, and compute capabilities into a single software platform.",438,,379,7,2023-12-05,118000000,USD,118000000,381000000,USD,381000000,"Norwest Venture Partners, NVIDIA, Bond, Goldman Sachs, New Enterprise Associates",3,19,5,"Alon Horev, Jeff Denworth, Mohd Fairuz Razi bin Sharuddin, Renen Hallak, Shachar Fienblit",501-1000,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,http://www.vastdata.com,https://x.com/VAST_data,https://www.facebook.com/vastdata,https://www.linkedin.com/company/vast-data,"VAST Data delivers the data platform at the heart of the AI-powered world, accelerating time-to-insight for workload-intensive applications. The VAST data platform delivers scalable performance, radically simple data management and enhanced productivity. Launched in 2019, VAST is the fastest-selling data infrastructure startup in history. For more information, please visit https://vastdata.com."
Amperity,https://www.crunchbase.com/organization/amperity,"Analytics, Artificial Intelligence (AI), Big Data, Data Management, Marketing, SaaS","Seattle, Washington, United States",2016-01-01,year,187000000,USD,187000000,Amperity is an Intelligent Customer Data Platform that empowers global consumer brands by unlocking all their customer data.,538,,463,6,2021-07-13,100000000,USD,100000000,187000000,USD,187000000,"Goldman Sachs, Madrona, Liquid 2 Ventures, Tiger Global Management, Acequia Capital (AceCap)",3,18,2,"Derek Slager, Kabir Shahani",251-500,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://amperity.com,https://twitter.com/amperity,https://web.facebook.com/goamperity,https://www.linkedin.com/company/amperity,"Amperity’s mission is to help people use data to serve the customer. They are revolutionizing the way companies connect, identify, and understand their customers by leveraging artificial intelligence to deliver a truly comprehensive and actionable Customer 360. This view improves marketing performance, fuels accurate customer insights, and enables world-class customer experiences. With Amperity, technical teams are freed from endless integration and data management, and business teams have direct access to the comprehensive data they need to build long-term customer loyalty and drive growth. Amperity serves many of the world’s most loved brands."
