Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Anthropic,https://www.crunchbase.com/organization/anthropic,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","San Francisco, California, United States",2021-01-01,month,17243877627,USD,17243877627,Anthropic is an AI research company that focuses on the safety and alignment of AI systems with human values.,2,,2,15,2025-05-16,2500000000,USD,2500000000,9407500000,USD,9407500000,"General Catalyst, Menlo Ventures, Bessemer Venture Partners, Google, Lightspeed Venture Partners",15,70,6,"Daniela Amodei, Dario Amodei, Jack Clark, Jared Kaplan, Sam McCandlish, Tom Brown",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.anthropic.com,https://x.com/AnthropicAI,https://www.facebook.com/AnthropicAI,https://www.linkedin.com/company/anthropicresearch,"Anthropic conducts AI research and develops AI products, including the Claude AI model family. The company focuses on building AI for human well-being, emphasizing safety in its research, policy work, and product design. Anthropic offers various Claude models, such as Opus and Sonnet, for AI-powered applications and custom experiences, supporting coding and AI agents."
Windsurf,https://www.crunchbase.com/organization/windsurf-codeium,"Artificial Intelligence (AI), Enterprise Applications, Information Technology, Machine Learning, Software","Mountain View, California, United States",2021-01-01,year,243000000,USD,243000000,Windsurf provides an AI coding assistant and an integrated development environment for developers.,10,,9,4,2024-08-29,150000000,USD,150000000,243000000,USD,243000000,"General Catalyst, Founders Fund, Kleiner Perkins, Greenoaks, Nitesh Banta",3,10,2,"Douglas Chen, Varun Mohan",251-500,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://windsurf.com,https://x.com/windsurf_ai,,https://www.linkedin.com/company/windsurf,"Windsurf offers an AI coding assistant designed to enhance developers' productivity. The platform features an integrated development environment that simplifies coding tasks and streamlines workflows. It supports multiple operating systems, including Mac, Windows, and Linux, making it accessible to a wide range of users.  Windsurf provides a free version for individual developers, while teams can access additional features through an enterprise offering. This flexibility allows users to choose the option that best suits their needs.  By focusing on usability and functionality, Windsurf aims to improve its users' overall coding experience."
Cyera,https://www.crunchbase.com/organization/cyera,"Artificial Intelligence (AI), Cloud Data Services, Cyber Security, Network Security","New York, New York, United States",2021-01-01,year,1304500000,USD,1304500000,Cyera is an AI-powered data security platform that gives enterprises deep context on their data to assure cyber-resilience and compliance.,33,,28,6,2025-06-11,540000000,USD,540000000,1304500000,USD,1304500000,"Accel, Sequoia Capital, Lightspeed Venture Partners, Sapphire Ventures, Coatue",8,14,2,"Tamar Bar-Ilan, Yotam Segev",501-1000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://www.cyera.com,https://x.com/cyera_io,,https://www.linkedin.com/company/cyera,"Cyera is a data security company that gives businesses deep context on their data, applying proper, continuous controls to assure cyber-resilience and compliance. Cyera takes a data-centric approach to security across your data landscape, empowering security teams to know where their data is, and what exposes it to risk, and take immediate action to remediate exposures. Backed by leading investors, including Sequoia, Accel, Cyberstarts, and Redpoint Ventures, Cyera is redefining how companies secure data in the cloud."
OpenEvidence,https://www.crunchbase.com/organization/openevidence,"Artificial Intelligence (AI), Clinical Trials, Medical, SaaS","Cambridge, Massachusetts, United States",2021-01-01,year,317000000,USD,317000000,OpenEvidence provides AI-powered medical search and clinical decision support.,52,,44,4,2025-07-15,210000000,USD,210000000,317000000,USD,317000000,"Sequoia Capital, Thrive Capital, Kleiner Perkins, Coatue, Conviction Partners",4,10,2,"Daniel Nadler, Zachary Ziegler",11-50,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.openevidence.com,https://x.com/evidenceopen,,https://www.linkedin.com/company/openevidence,"OpenEvidence offers an AI-powered platform that organizes and expands medical knowledge for clinicians. It provides real-time, evidence-based answers to medical questions, drawing from peer-reviewed literature and strategic content partnerships with major medical journals. The service aims to assist physicians in making clinical decisions and staying updated with the latest research."
Lubega Geoffrey,https://www.crunchbase.com/organization/indigo-97af,"Artificial Intelligence (AI), Real Estate, Residential","New York, New York, United States",2021-11-01,month,8000000,USD,8000000,Indigo is an AI-powered home transaction platform that offers residential property buying and selling services.,115,,94,1,2025-01-23,8000000,USD,8000000,8000000,USD,8000000,"NFX, GTMfund, Era Ventures, 1Sharpe Ventures, Jake Seid",,5,5,"Frances Bryant, Jian Wei Gan, Lubega Geoffrey, Paul Kim, Shaival Shah",251-500,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",,,Active,For Profit,https://www.zackmantech256.com,,https://www.facebook.com/zackmantech256/glubega67,https://www.linkedin.com/company/glubega67,Arts and entertainment
Character.ai,https://www.crunchbase.com/organization/character-ai,"Apps, Artificial Intelligence (AI), Generative AI, Information Technology, Mobile Apps, Software","Menlo Park, California, United States",2021-11-01,month,150080000,USD,150080000,Character.ai provides open-ended conversational applications in which users create characters and converse with them.,152,,126,2,2023-03-23,150000000,USD,150000000,150080000,USD,150080000,"Andreessen Horowitz, SV Angel, A.Capital Ventures, Paul Buchheit, Nat Friedman",1,5,2,"Daniel De Freitas, Noam Shazeer",51-100,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Science and Engineering, Software",,,Active,For Profit,https://character.ai,https://www.twitter.com/character_ai,https://www.facebook.com/CharacterAI,https://www.linkedin.com/company/character-ai,"Character.ai provides open-ended conversational applications in which users create characters and converse with them. The company aims to create dialogue agents with a broad range of uses in entertainment, instruction, general question-answering, and other areas. The business specializes in neural language models, which can be used as tools for creativity, idea generation, language learning, and a variety of other tasks. Users can access dialogue agents that are propelled by in-house technology."
Tennr,https://www.crunchbase.com/organization/tennr,"Artificial Intelligence (AI), Health Care, Medical, Software","New York, New York, United States",2021-01-01,year,161000000,USD,161000000,Tennr is a healthcare AI startup that provides an automation platform for medical documents.,200,,167,5,2025-06-18,101000000,USD,101000000,161000000,USD,161000000,"Andreessen Horowitz, Y Combinator, IVP, Lightspeed Venture Partners, Foundation Capital",4,13,3,"Diego Baugh, Trey Holterman, Tyler Johnson",51-100,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.tennr.com,https://x.com/TennrHospitals,,https://www.linkedin.com/company/tennrai,"Tennr is a healthcare AI startup that optimizes healthcare operations by automating back-office tasks. The company leverages AI technology to replace traditional faxing systems and streamline communication processes in healthcare, ensuring patients receive timely care."
Slide Insurance,https://www.crunchbase.com/organization/slide-insurance,"Artificial Intelligence (AI), Financial Services, Insurance, InsurTech, Property Insurance","Tampa, Florida, United States",2021-01-01,year,770000000,USD,770000000,SlideCompany is a technology-enabled insurance provider that uses AI and big data to deliver home insurance coverage to consumers.,375,,323,5,2025-05-14,250000000,USD,250000000,100000000,USD,100000000,"TampaBay.Ventures, Regions Bank, Gries Investment Funds",3,3,2,"Bruce Lucas, Shannon Lucas",251-500,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,Active,For Profit,https://www.slideinsurance.com,,https://www.facebook.com/SlideInsurance,https://www.linkedin.com/company/slideinsurance,"SlideCompany is an insurance company that leverages cutting-edge technology, artificial intelligence, and a large dataset to provide homeowners with personalized, flexible, and seamless home insurance coverage. The company's platform and portfolio are designed to deliver high-performance outcomes through data-driven underwriting and a focus on enhancing the customer experience."
Two Platforms,https://www.crunchbase.com/organization/two-01cc,Artificial Intelligence (AI),"Campbell, California, United States",2021-07-01,month,20000000,USD,20000000,TWO is building AI for the non-English market with its proprietary multilingual and cost-efficient Gen-AI models called SUTRA.,406,,351,1,2022-02-22,20000000,USD,20000000,20000000,USD,20000000,"Reliance Jio, Naver",1,2,1,Abhijit Bendale,11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://two.ai,https://twitter.com/two_platforms,,https://www.linkedin.com/company/2wo,"TWO is a tech company that aims to redefine Human-AI Interaction through its proprietary multilingual and cost-efficient language models called SUTRA, and its own solutions and services powered by it."
Twelve Labs,https://www.crunchbase.com/organization/twelve-labs-62b5,"Generative AI, Information Technology, Software, Video","San Francisco, California, United States",2021-03-01,month,107120000,USD,107120000,Twelve Labs is a video intelligence platform that uses AI to analyze and search through video content.,407,,352,7,2025-06-09,,,,107120000,USD,107120000,"Index Ventures, New Enterprise Associates, Techstars, Radical Ventures, HubSpot Ventures",6,35,5,"Aiden Lee, Dave Chung, Jae Lee, SJ Kim, Soyoung Lee",11-50,"Artificial Intelligence (AI), Information Technology, Media and Entertainment, Software, Video",,,Active,For Profit,http://twelvelabs.io,https://twitter.com/twelve_labs,,https://www.linkedin.com/company/twelvelabs,"TwelveLabs offers a video intelligence platform that allows enterprises, researchers, and developers to search, analyze, and derive insights from large video libraries using AI-driven, multimodal models. Their Marengo model generates embeddings that support any-to-any retrieval across text, speech, visuals, and audio, while Pegasus handles video-to-text generation for tasks like Q&A, summarization, and captions. The platform is accessible via APIs and an interactive Playground, with flexible usage-based pricing and free initial indexing. The company also emphasizes research-driven development, with its team contributing to competitive AI challenges and academic publications alongside deploying its foundation models into customer workflows."
