Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Rigetti Computing,https://www.crunchbase.com/organization/rigetti-computing,"Artificial Intelligence (AI), Big Data, Hardware, Quantum Computing, Software","Berkeley, California, United States",2013-01-01,year,748450000,USD,748450000,Rigetti Computing is a quantum computing company that builds and deploys full-stack quantum systems with superconducting qubits.,83,,69,14,2025-06-11,350000000,USD,350000000,747700000,USD,747700000,"Andreessen Horowitz, Bessemer Venture Partners, Alumni Ventures, Palantir Technologies, Ampere Computing",4,44,2,"Chad Rigetti, Spencer Rascoff",101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,,Active,For Profit,http://www.rigetti.com,https://x.com/rigetti,https://www.facebook.com/rigetticomputing,https://www.linkedin.com/company/rigetti-computing,"Rigetti Computing is a full-stack quantum computing company. It designs and manufactures quantum-integrated circuits. It packages and deploys those chips in a low-temperature environment, and they build control systems to perform quantum logic operations on them. The company develops software to integrate its systems directly into existing cloud infrastructure. It has also developed new algorithms for quantum computing, with a focus on near-term applications in computational chemistry and machine learning. Our product, Forest, is the world’s first full-stack programming and execution environment for quantum/classical computing."
Pendo,https://www.crunchbase.com/organization/pendo-io,"Analytics, Artificial Intelligence (AI), Enterprise Software, Product Design, SaaS","Raleigh, North Carolina, United States",2013-10-01,month,479412849,USD,479412849,Pendo is a product experience platform that specializes in software usage analytics and digital adoption solutions.,363,,311,12,2024-08-13,9912849,USD,9912849,366912849,USD,366912849,"General Atlantic, Thoma Bravo, B Capital, Battery Ventures, Sapphire Ventures",8,17,4,"Eric Boduch, Erik Troan, Rahul Jain, Todd Olson",501-1000,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,,Active,For Profit,http://www.pendo.io,https://www.twitter.com/pendoio,https://www.facebook.com/pendoio,https://www.linkedin.com/company/pendo-io,"Pendo is a platform that helps product managers and teams better understand how their users engage with their software products. Pendo's product experience platform enables businesses to quickly and efficiently turn product knowledge into actionable insights, ushering in a new era of businesses that prioritize products. Pendo's customers include global leaders such as Verizon, Morgan Stanley, LabCorp, OpenTable, Okta, Salesforce, and Zendesk. Pendo's Mind the Product and customer forums, sponsored events, and podcasts strive to help product and digital leaders around the world succeed. Pendo is based in Raleigh, North Carolina, with offices across the world."
Dataiku,https://www.crunchbase.com/organization/dataiku,"Analytics, Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software","New York, New York, United States",2013-02-13,day,846835229,USD,846835229,Dataiku operates as an enterprise artificial intelligence and machine-learning platform.,397,,344,11,2022-12-12,200000000,USD,200000000,846835229,USD,846835229,"Insight Partners, Wellington Management, Alven, ICONIQ Growth, Battery Ventures",12,18,4,"Clément Stenac, Florian Douetteau, Marc Batty, Thomas Cabrol",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.dataiku.com,https://x.com/dataiku,https://www.facebook.com/dataiku,https://www.linkedin.com/company/dataiku,"Dataiku is a centralized data platform that moves businesses along their data journey from analytics at scale to enterprise AI. By providing a common ground for data experts and explorers, a repository of best practices, shortcuts to machine learning and AI deployment/management, and a centralized, controlled environment, Dataiku serves as a catalyst for data-powered companies. Customers like Unilever, GE, and FOX News Group use Dataiku to ensure they are moving quickly and growing exponentially along with the amount of data they’re collecting. By removing roadblocks, Dataiku ensures more opportunities for business-impacting models and creative solutions, allowing teams to work faster and smarter."
Databricks,https://www.crunchbase.com/organization/databricks,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning","San Francisco, California, United States",2013-01-01,year,20814882333,USD,20814882333,"Databricks is a data and AI platform that unifies data engineering, analytics, and machine learning on a lakehouse architecture.",420,,362,15,2025-01-13,5250000000,USD,5250000000,15564882333,USD,15564882333,"Blue Owl, Andreessen Horowitz, Gaingels, Citi, BlackRock",12,74,6,"Ali Ghodsi, Andy Konwinski, Arsalan Tavakoli-Shiraji, Ion Stoica, Patrick Wendell, Reynold Xin",5001-10000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.databricks.com,https://x.com/databricks,https://www.facebook.com/databricksinc,https://www.linkedin.com/company/databricks,Databricks provides a unified data analytics platform that enables organizations to process and analyze large datasets. The platform supports collaborative data science and machine learning workflows. Users can build and deploy data pipelines using Apache Spark and other tools. Databricks integrates with various cloud services to facilitate data management and analysis.
Motive,https://www.crunchbase.com/organization/Motive,"Artificial Intelligence (AI), Business Intelligence, Fleet Management, Logistics, SaaS, Software, Transportation","San Francisco, California, United States",2013-03-21,day,567300000,USD,567300000,"Motive builds technology to improve the safety, productivity and profitability of businesses that power the physical economy.",470,,407,10,2023-10-24,,,,567300000,USD,567300000,"BlackRock, Insight Partners, IVP, Index Ventures, Kleiner Perkins",8,19,2,"Obaid Khan, Shoaib Makani",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,Active,For Profit,https://gomotive.com/,https://x.com/Motive_inc,https://www.facebook.com/GoMotive.Inc,https://www.linkedin.com/company/motive-inc/,"Motive is a technology company building technology to improve the safety, productivity, sustainability, and profitability of businesses that power the physical economy. Combined with AI, the Motive platform gives you complete visibility and control and significantly reduces manual workloads by automating and simplifying tasks. Motive serves small businesses across a wide range of industries, including transportation and logistics, construction, energy, field service, manufacturing, agriculture, food and beverage, retail, and the public sector. Motive is a fully unified integrated operations platform, combining driver safety, fleet management, equipment monitoring, and spend management all in one place."
SentinelOne,https://www.crunchbase.com/organization/sentinel,"Artificial Intelligence (AI), Cyber Security, Network Security, Security","Mountain View, California, United States",2013-01-01,year,696520000,USD,696520000,SentinelOne is an autonomous cybersecurity solution company.,485,,419,9,2021-06-30,,,,696520000,USD,696520000,"Vista Equity Partners, Sequoia Capital, Accel, Insight Partners, Redpoint",5,20,2,"Almog Cohen, Tomer Weingarten",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,http://www.sentinelone.com,https://www.twitter.com/SentinelOne,https://www.facebook.com/SentinelOne,https://www.linkedin.com/company/sentinelone,"SentinelOne provides tools and intelligence to anticipate threats, manage vulnerabilities and protect your cloud, endpoint, and identity resources anywhere in the world. Combined with 24/7/365 threat hunting and managed services, SentinelOne is defining the future of cybersecurity with the Power of AI. The company aims to shape the future of endpoint security with an integrated platform that combines behavioral-based detection, advanced mitigation, and forensics to stop threats in real time. Specializing in attacks that utilize evasion techniques, SentinelOne is a vendor that offers complete protection against malware, exploit, and insider-based attacks. This led Gartner to recognize SentinelOne as a Visionary in their recent Endpoint Protection Magic Quadrant. SentinelOne is also a next-generation endpoint protection company to be independently certified as a true antivirus replacement for Windows, OS X, and Linux, including certification for both HIPAA and PCI. SentinelOne was formed by an elite team of cybersecurity and defense experts from IBM, Intel, Check Point Software Technologies, Cylance, McAfee, and Palo Alto Networks. SentinelOne was named the seventh fastest-growing company in North America in 2019, the fastest-growing in Silicon Valley, and was the only cybersecurity company recognized in the top 10 of the Deloitte Technology Fast 500™. SentinelOne was also the only endpoint protection company on the Forbes AI 50 list, recognizing the 50 most promising companies using AI as a core part of its business model and success."
6sense,https://www.crunchbase.com/organization/6sense,"Artificial Intelligence (AI), B2B, Big Data, Business Information Systems, Machine Learning","San Francisco, California, United States",2013-01-01,year,526000000,USD,526000000,6sense is an account-based marketing platform that helps B2B organizations achieve predictable revenue growth.,737,,645,10,2023-06-22,100000000,USD,100000000,426000000,USD,426000000,"Blue Owl, Insight Partners, Venrock, Y Combinator, B Capital",10,21,3,"Amanda Kahlow, Premal Shah, Viral Bajaria",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software",,,Active,For Profit,http://www.6sense.com,https://x.com/6SenseInc,https://www.facebook.com/6senseinc,https://www.linkedin.com/company/6sense,"6sense reinvents the way organizations create, manage, and convert pipelines to revenue. 6sense Revenue AI captures anonymous buying signals, targets the right accounts, and recommends the channels and messages to boost revenue performance. Removing guesswork, friction, and wasted sales effort, 6sense empowers sales, marketing, and customer success teams to significantly improve pipeline quality, accelerate sales velocity, increase conversion rates, and grow revenue predictably."
Exabeam,https://www.crunchbase.com/organization/exabeam,"Analytics, Artificial Intelligence (AI), Big Data, Cloud Security, Cyber Security, Machine Learning, Software","Foster City, California, United States",2013-01-01,year,391000000,USD,391000000,Exabeam is a global leader in intelligence and automation that powers security operations. Learn more at www.exabeam.com.,933,,816,8,2021-12-05,1000000,USD,1000000,391000000,USD,391000000,"Norwest Venture Partners, Lightspeed Venture Partners, Cisco Investments, Sapphire Ventures, Acrew Capital",6,16,3,"Domingo Mihovilovic, Nir Polak, Sylvain Gil",501-1000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,http://www.exabeam.com,http://twitter.com/exabeam,,https://www.linkedin.com/company/exabeam,"Exabeam is a leader in intelligence and automation that powers security operations for the world’s smartest companies. As a global cybersecurity leader, Exabeam provides industry-proven, security-focused, and flexible solutions for faster, more accurate threat detection, investigation, and response (TDIR). Cutting-edge technology enhances security operations center performance, optimizing workflows and accelerating time to resolution. With consistent leadership in AI innovation and a proven track record in security information and event management (SIEM) and user behavior analytics, Exabeam empowers global security teams to combat cyberthreats, mitigate risk, and streamline operations. Learn more at www.exabeam.com."
Domino Data Lab,https://www.crunchbase.com/organization/domino-data-lab,"Analytics, Artificial Intelligence (AI), Big Data, Data Mining, Enterprise Applications, Enterprise Software, Machine Learning, Software","San Francisco, California, United States",2013-01-01,year,223600000,USD,223600000,"Domino Data Lab provides a platform that utilizes data science and AI for collaboration, model deployment, and centralizing infrastructure.","1,235",,"1,079",9,2022-06-15,,,,223600000,USD,223600000,"Sequoia Capital, NVIDIA, Slow Ventures, Coatue, Great Hill Partners",7,15,3,"Chris Yang, Matthew Granade, Nick Elprin",251-500,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://domino.ai,http://twitter.com/dominodatalab,http://www.facebook.com/dominodatalab,http://www.linkedin.com/company/domino-data-lab,"Domino Data Lab empowers data science teams with the leading, open data science platform that enables enterprises to manage and scale data science with discipline and maturity. Model-driven companies including Allstate, Dell Technologies, and Bayer use Domino as a data science system of record to accelerate breakthrough research, increase collaboration, and rapidly deliver high-impact models."
FiscalNote,https://www.crunchbase.com/organization/fiscalnote,"Artificial Intelligence (AI), Big Data, GovTech, Predictive Analytics, Software","Washington, District of Columbia, United States",2013-04-01,day,637332510,USD,637332510,FiscalNote uses artificial intelligence and big data to deliver predictive analytics on government information to determine its impact.,"1,279",,"1,117",23,2024-11-27,5500000,USD,5500000,362026010,USD,362026010,"Plug and Play, New Enterprise Associates, 645 Ventures, Legendary Ventures, Bossa Invest",7,66,4,"Chris Brummer, Gerald Yao, Jonathan Chen, Tim Hwang",251-500,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software",,,Active,For Profit,http://www.fiscalnote.com,http://twitter.com/fiscalnote,http://www.facebook.com/FiscalNote,http://www.linkedin.com/company/fiscalnote,"FiscalNote uses artificial intelligence and big data to deliver immediate predictive analytics of governmental action to pinpoint impact. FiscalNote's flagship platform provides real-time legislative predictive capabilities as well as enterprise collaboration and visualization tools for data on campaign finance, demographics, news, and open data to government relations professionals to help them make faster decisions."
