Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Safe Superintelligence,https://www.crunchbase.com/organization/safe-superintelligence,"Artificial Intelligence (AI), Information Technology, Internet, Software Engineering","Palo Alto, California, United States",2024-06-19,day,3000000000,USD,3000000000,Safe Superintelligence develops AI solutions prioritizing safety in artificial intelligence.,63,,53,3,2025-07-07,,,,3000000000,USD,3000000000,"Andreessen Horowitz, Sequoia Capital, NVIDIA, Lightspeed Venture Partners, SV Angel",2,10,3,"Daniel Gross, Daniel Levy, Ilya Sutskever",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://ssi.inc,https://x.com/ssi,,https://www.linkedin.com/company/ssi-ai,"Safe Superintelligence develops artificial intelligence technologies focused on enhancing safety measures within AI systems. The company provides solutions that help organizations identify and mitigate potential risks associated with AI deployment. By prioritizing safety, Safe Superintelligence aims to foster responsible AI usage across various industries. Their offerings include risk assessment tools and frameworks designed to ensure compliance with safety standards. This approach supports sales teams in making informed decisions when integrating AI into their operations, ultimately contributing to safer AI practices in the marketplace."
Bedrock Robotics,https://www.crunchbase.com/organization/bedrock-robotics,"Artificial Intelligence (AI), Information Technology, Robotics","San Francisco, California, United States",2024-01-01,year,80000000,USD,80000000,Bedrock Robotics enables the construction sector to grow at the rate that modern civilization requires.,149,,123,2,2025-07-16,80000000,USD,80000000,80000000,USD,80000000,"Eclipse Ventures, 8VC, Valor Equity Partners, Two Sigma Ventures, Tishman Speyer",2,11,4,"Ajay Gummalla, Boris Sofman, Kevin Peterson, Tom Eliaz",1-10,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,Active,,https://bedrockrobotics.com,https://x.com/bedrockrobotics,,https://www.linkedin.com/company/bedrock-robotics,"Bedrock Robotics delivers enhanced autonomy to the built environment, allowing the construction sector to build at the rate that today's society requires."
Sema4.ai,https://www.crunchbase.com/organization/sema4-ai,"Artificial Intelligence (AI), Generative AI, Software, Web Development","Atlanta, Georgia, United States",2024-01-01,year,55500000,USD,55500000,"Sema4.ai is an AI platform that empowers organizations to build, deploy, and manage agents designed to transform knowledge work.",525,,451,2,2025-06-04,25000000,USD,25000000,55500000,USD,55500000,"Mayfield Fund, Rocketship.vc, Benchmark, Snowflake Ventures, Canvas Ventures",,7,4,"Antti Karjalainen, Paul Codding, Ramachandran Venkatesh, Sudhir Menon",51-100,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://sema4.ai,,,https://www.linkedin.com/company/sema4-ai,Sema4.ai's mission is to define the future of knowledge work by creating intelligent agents that alter how knowledge workers interact with AI.
DataBahn,https://www.crunchbase.com/organization/databahn-0ee8,"Artificial Intelligence (AI), Cyber Security, Data Management, Enterprise Software, Security, Software","Dallas, Texas, United States",2024-07-01,month,17000000,USD,17000000,DataBahn is an AI-powered data pipeline management tool that automates and enriches telemetry data with AI-enabled precision.,687,,600,1,2025-06-26,17000000,USD,17000000,17000000,USD,17000000,"Forgepoint Capital, S3 Ventures, GTM Capital",1,3,3,"Nanda Santhana, Nanda Santhana, Nithya Nareshkumar",101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://databahn.ai,,,https://www.linkedin.com/company/databahn-ai,"DataBahn provides an AI-powered platform designed for smarter data pipeline management, enabling the collection, integration, routing, and optimization of telemetry data with high precision and minimal friction. The platform assists organizations in securely collecting, enriching, orchestrating, and optimizing their enterprise data, focusing on enhancing information security and operational efficacy. By eliminating fragmented toolchains and reducing operational overhead, DataBahn delivers real-time insights, intelligent automation and immediate ROI—without added complexity."
Profound,https://www.crunchbase.com/organization/profound-1b0a,"Analytics, Artificial Intelligence (AI), SEO","New York, New York, United States",2024-07-15,day,23500000,USD,23500000,Profound provides analytics and tools for brands to enhance visibility in AI search.,782,,684,2,2025-06-19,20000000,USD,20000000,23500000,USD,23500000,"Khosla Ventures, South Park Commons, Kleiner Perkins, SV Angel, Saga Ventures",2,17,2,"Dylan Babbs, James Cadwallader",11-50,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://www.tryprofound.com,https://x.com/tryprofound.com,,https://www.linkedin.com/company/tryprofound,"Profound offers analytics solutions and tools that assist brands in enhancing their visibility within generative search platforms. The company focuses on providing insights and data that help sales teams optimize their presence in AI-driven search environments. By leveraging its analytics platform, Profound enables businesses to understand their representation across various AI tools, facilitating better decision-making. Additionally, the company provides resources for reputation management, ensuring that brands can effectively navigate the evolving landscape of AI search. Overall, Profound supports companies in maximizing their impact and engagement in digital spaces."
Vultron,https://www.crunchbase.com/organization/vultron,"Artificial Intelligence (AI), Software","San Francisco, California, United States",2024-01-01,year,26850000,USD,26850000,Vultron is the Agentic Operating System transforming federal growth,931,,814,3,2025-07-14,22000000,USD,22000000,26850000,USD,26850000,"South Park Commons, Craft Ventures, Long Journey Ventures, Greycroft, Tofino Capital",3,9,2,"Joshua Gluck, Mac Liu",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.vultron.ai,,,https://www.linkedin.com/company/vultron/about/,Vultron is the agentic operating system transforming federal growth.
World Labs,https://www.crunchbase.com/organization/world-labs,"3D Technology, Artificial Intelligence (AI), Generative AI, Information Technology","San Francisco, California, United States",2024-01-01,day,230000000,USD,230000000,World Labs develops AI models with spatial intelligence for 3D world perception and interaction.,"1,108",,966,2,2024-09-13,230000000,USD,230000000,230000000,USD,230000000,"Andreessen Horowitz, New Enterprise Associates, Radical Ventures, Salesforce Ventures, Sound Ventures",3,23,4,"Ben Mildenhall, Christoph Lassner, Fei-Fei Li, Justin Johnson",11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.worldlabs.ai,https://x.com/theworldlabs,,https://www.linkedin.com/company/world-labs,"World Labs creates an AI platform for visual data processing that is similar to that of humans. The company specializes in developing advanced AI systems that operate within three-dimensional (3D) environments, both virtual and real-world. Their core service revolves around building Large World Models (LWMs), which allow AI to perceive, generate, and interact with the world in 3D space."
ZeroEntropy,https://www.crunchbase.com/organization/zeroentropy,"Artificial Intelligence (AI), Developer Tools","San Francisco, California, United States",2024-01-01,year,4700000,USD,4700000,ZeroEntropy provides a sophisticated search API tailored for the analysis and retrieval of unstructured data.,"1,142",,998,2,2025-07-09,4200000,USD,4200000,4700000,USD,4700000,"Y Combinator, Initialized Capital, a16z Scout Fund, Thomas Wolf, Kulveer Taggar",2,12,2,"Ghita Houir Alami, Nicholas Pipitone",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.zeroentropy.dev,https://x.com/zeroentropy_ai,,https://www.linkedin.com/company/zeroentropy-inc/,
Edera,https://www.crunchbase.com/organization/edera-bf39,"Artificial Intelligence (AI), Cyber Security, Developer APIs, Enterprise Software, IT Infrastructure","Seattle, Washington, United States",2024-04-01,month,20000000,USD,20000000,Edera is an enterprise infrastructure security company that offers secure-by-design Kubernetes and AI solution.,"1,788",,"1,565",3,2025-02-25,15000000,USD,15000000,20000000,USD,20000000,"FPV Ventures, 645 Ventures, MANTIS Venture Capital, Eniac Ventures, Precursor Ventures",3,15,3,"Alex Zenla, Ariadne Conill, Emily Long",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://edera.dev,,,https://www.linkedin.com/company/edera-dev,"Edera is a cybersecurity company specializing in strong workload isolation solutions for Kubernetes and AI environments. Its technology employs a cloud-native Type 1 hypervisor to provide robust container isolation, preventing lateral movement and eliminating container escapes. This approach ensures that each container operates within its own isolated kernel, enhancing security without compromising performance. Edera's platform is designed for seamless integration, requiring minimal configuration to secure workloads across various infrastructures. The company also supports open-source initiatives, offering tools like 'Am I Isolated,' a Rust-based container runtime scanner that detects gaps in container isolation."
Physical Intelligence,https://www.crunchbase.com/organization/physical-intelligence-834b,"Artificial Intelligence (AI), Machine Learning, Robotics","San Francisco, California, United States",2024-01-01,year,470000000,USD,470000000,Physical Intelligence is an AI company developing machine learning for robots and other physical devices.,"1,906",,"1,668",2,2024-11-04,400000000,USD,400000000,470000000,USD,470000000,"OpenAI, Khosla Ventures, Sequoia Capital, Bond, Thrive Capital",3,11,6,"Adnan Esmail, Brian Ichter, Karol Hausman, Lachy Groom, Quan Vuong, Sergey Levine",11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,,Active,,https://physicalintelligence.company,https://twitter.com/physical_int,,https://www.linkedin.com/company/physical-intelligence,Physical Intelligence is a company working on integrating general-purpose AI with robotics and physical devices. It develops foundation models and learning algorithms for robots to allow industries to perform tasks across various applications.
