Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
CoreWeave,https://www.crunchbase.com/organization/coreweave,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Information Technology, Machine Learning","Livingston, New Jersey, United States",2017-01-01,year,17179700000,USD,17179700000,CoreWeave is a cloud-based AI infrastructure company offering GPU cloud services to simplify AI and machine learning workloads.,3,,3,16,2025-07-22,1750000000,USD,1750000000,1537700000,USD,1537700000,"Citi, BlackRock, NVIDIA, Deutsche Bank, La Caisse",10,46,4,"Brannin McBee, Brian Venturo, Michael Intrator, Peter Salanki",501-1000,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.coreweave.com,https://x.com/CoreWeave,https://www.facebook.com/ConciergeRender,https://www.linkedin.com/company/coreweave,"CoreWeave provides a cloud infrastructure platform to support compute-intensive workloads across blockchain, artificial intelligence, visual effects, and related applications. The platform provides access to GPU resources tailored to varying model complexities and production requirements.  Its infrastructure enables users to accelerate workflows through a GPU cloud system, allowing for the design of custom compute environments and adaptation to performance requirements."
Clay,https://www.crunchbase.com/organization/clay-953f,"Artificial Intelligence (AI), Developer Tools, Lead Generation, Productivity Tools, Sales Automation, Software","New York, New York, United States",2017-07-25,day,102000000,USD,102000000,Clay is an AI-driven sales and marketing company that equips growth and sales teams with customer data and automated workflows.,93,,77,5,2025-06-13,,,,102000000,USD,102000000,"Sequoia Capital, BoxGroup, First Round Capital, Builders VC, boldstart ventures",4,10,3,"Kareem Amin, Nicolae Rusan, Varun Anand",101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://clay.com,https://twitter.com/clayrunhq,,https://www.linkedin.com/company/clay-run,"Clay offers a platform that equips growth and sales teams with enriched customer data and automated workflows. It integrates over 100 data sources, such as first‑party, intent, and third‑party enrichment, enabling users to conduct deep research on ideal customer profiles. The platform supports AI‑driven research agents, personalized copywriting, and automated outreach, allowing individuals to execute complex go‑to‑market campaigns without extensive team coordination. Additionally, Clay features tools like email and headcount finders, CRM integrations, and a Creators program that empowers users to share content and earn credits."
Clarity AI,https://www.crunchbase.com/organization/clarity-ai,"CleanTech, Finance, Financial Exchanges, GreenTech, Information Technology, Machine Learning, Retail, Sustainability","New York, New York, United States",2017-01-01,year,79977205,USD,79977205,Clarity AI is a sustainability technology platform that uses machine learning to deliver environmental and social insights to investors.,199,,166,6,2021-12-02,50000000,USD,50000000,75900000,USD,75900000,"BlackRock, Founders Fund, Fifth Wall, SoftBank Vision Fund, Alma Mundi Ventures",3,15,1,Rebeca Minguela,251-500,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Software, Sustainability",,,Active,For Profit,https://clarity.ai,https://twitter.com/clarityaieng,,https://www.linkedin.com/company/clarity-ai,"Clarity AI is a sustainability technology platform that uses machine learning and big data to deliver environmental and social insights to investors and organizations. As of December 2021, Clarity AI’s platform analyzes more than 30,000 companies, 135,000 funds, 198 countries and 187 local governments, and delivers data and analytics for investing, corporate research and reporting. Clarity AI has offices in the US and Europe. Clarity AI’s client network manages trillions in assets under management."
Ellipsis Health,https://www.crunchbase.com/organization/ellipsis-health,"Artificial Intelligence (AI), Health Care, Information Technology, Software","San Francisco, California, United States",2017-11-01,month,75021105,USD,75021105,AI Nursing Care Manager,235,,198,4,2025-06-12,45000000,USD,45000000,75021105,USD,75021105,"Gaingels, Khosla Ventures, Alumni Ventures, Greycroft, Salesforce",4,26,4,"Dr. Michael Aratow, Mainul I, Mainul Mondal, Susan Solinsky",51-100,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",,,Active,For Profit,http://www.ellipsishealth.com,http://twitter.com/EllipsisHealth,,https://www.linkedin.com/company/ellipsis-health,"Sage provides 24/7 support and simplified healthcare navigation, guiding patients through complex healthcare processes with empathetic conversation."
EliseAI,https://www.crunchbase.com/organization/meetelise,"Artificial Intelligence (AI), Business Intelligence, Machine Learning, Property Management, PropTech, Real Estate","New York, New York, United States",2017-01-01,year,141928985,USD,141928985,"EliseAI develops conversational AI for property management, unlocking operational efficiencies for businesses.",298,,253,5,2024-08-14,75000000,USD,75000000,141928985,USD,141928985,"Sapphire Ventures, Navitas Capital, Ground Up Ventures, Point72 Ventures, DivcoWest",4,13,2,"Minna Song, Stoyan Stoyanov",101-250,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",,,Active,For Profit,http://www.eliseai.com,,,https://www.linkedin.com/company/eliseai,"EliseAI is an AI company developing a conversational platform for business automation. The platform tracks and instantly responds to new inquiries, schedules viewings, and consistently follows up with each and every prospect to make sure no lead is lost. Its virtual leasing assistant for rental housing helps real estate management companies of all sizes provide exceptional customer service, maximize revenue, and enable apartment managers to reduce property management costs."
Aisera,https://www.crunchbase.com/organization/aisera,"Artificial Intelligence (AI), Cloud Data Services, Enterprise Applications, Generative AI, Information Technology, Machine Learning, Natural Language Processing, Sales Automation","Palo Alto, California, United States",2017-01-01,year,164499999,USD,164499999,"Aisera is a leading provider of Generative AI Solutions that helps enterprises boost revenue, improve user productivity & get immediate ROI.",383,,330,4,2022-08-03,90000000,USD,90000000,164499999,USD,164499999,"Norwest Venture Partners, Menlo Ventures, Khosla Ventures, Thoma Bravo, Goldman Sachs",4,14,2,"Christos Tryfonas, Muddu Sudhakar",251-500,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://aisera.com/,https://twitter.com/aisera_ai,https://www.facebook.com/aisera/,https://www.linkedin.com/company/aisera/,"Aisera is a leading provider of Generative AI Solutions that helps enterprises boost revenue, improve user productivity, lower operating expenses and create magical user experiences. Aisera’s products are AiseraGPT, AI Copilot, AI Search and AiseraLLMs which are built on the AI Experience (AIX) platform that serve as an enterprise Generative AI stack for organizations to buy or build solutions. Aisera solutions deliver human-like interactions while providing contextually rich conversations that boost workforce productivity. Aisera’s AIX platform with pre-trained domain-specific LLMs are customizable to customer data, such that enterprises can get better accuracy, lower hallucinations and increased resolution rates.  Aisera offers these domain-specific LLMs across a wide range, including: IT, HR, Finance, Sales, Marketing, Customer Service, Life Sciences, Healthcare, Financial Services, and Retail.  Aisera compliments these offers with action bots that are built-in and customized AI workflows through a Visual studio to take actions and improve business process automation. Organizations can unlock human potential to save millions of operations costs, enhance productivity by 80%, and achieve 75% auto-resolution rates – all while reducing support costs by 80%.  Aisera is an award-winning, top-tier VC-funded startup headquartered in Palo Alto, CA, recognized as a leader in multiple industry analyst reports. For a Demo, solution architecture, free enterprise AI and automation assessment of your organization’s effectiveness and to learn how your team can benefit from drastic cost savings with Aisera, please contact info@aisera.com."
Biobot Analytics,https://www.crunchbase.com/organization/biobot-analytics,"Analytics, Artificial Intelligence (AI), Big Data, Biotechnology, Health Care, Information Services, Water","Cambridge, Massachusetts, United States",2017-01-01,year,41398737,USD,41398737,A wastewater data platform delivering population-level health insights,463,,402,10,2025-06-06,13400000,USD,13400000,41398737,USD,41398737,"Valor Equity Partners, Y Combinator, Pioneer Fund, Liquid 2 Ventures, DCVC",7,29,2,"Mariana Matus, Newsha Ghaeli",11-50,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Natural Resources, Science and Engineering, Software",,,Active,For Profit,http://www.biobot.io,,,https://www.linkedin.com/company/biobot-analytics,"Biobot is the pioneer and market leader in wastewater epidemiology intelligence with a mission to deliver population-level health insights across various infectious diseases and high risk substances. Customers include federal, state and local governments, pharmaceutical companies, universities, and more. Founded at MIT in 2017, Biobot's vision is that healthcare intelligence is inclusive and proactive."
Core Scientific,https://www.crunchbase.com/organization/core-scientific,"Artificial Intelligence (AI), Blockchain, Data Mining, Software","Dover, Delaware, United States",2017-01-01,year,1557900000,USD,1557900000,Core Scientific is an AI infrastructure company that operates blockchain data centers and manufactures digital currency mining servers.,539,,464,11,2024-12-03,550000000,USD,550000000,516900000,USD,516900000,"Celsius Network, Bitmain, B. Riley Financial, Obsidian Investment Partners",3,4,3,"Darin Feinstein, Jim Benedetto, Mike Levitt",251-500,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Other, Science and Engineering, Software",,,Active,For Profit,https://corescientific.com,https://twitter.com/Core_Scientific,https://www.facebook.com/CoreScientificInc,https://www.linkedin.com/company/corescientific,"Core Scientific is a blockchain, artificial intelligence hosting, transaction processing, and application development company. The company provides blockchain infrastructure, digital asset self-mining, and hosting services. The company also provides hosting solutions for digital asset mining and blockchain applications. The company specializes in in-house management and monitoring solutions that combine hosting with data analytics for alerting, monitoring, and management."
Rain AI,https://www.crunchbase.com/organization/rain-neuromorphics,"Artificial Intelligence (AI), Hardware, IT Management, Machine Learning","Redwood City, California, United States",2017-01-01,year,40230020,USD,40230020,Rain AI develops an energy-efficient hardware for artificial intelligence (AI) applications.,600,,519,8,2024-05-26,8100000,USD,8100000,40230020,USD,40230020,"Y Combinator, Gaingels, Airbus Ventures, Pioneer Fund, Buckley Ventures",2,28,3,"Gordon Wilson, Jack Kendall, Juan Nino",11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,Active,For Profit,http://rain.ai,https://twitter.com/rain__ai,https://www.facebook.com/rainneuromorphics,https://www.linkedin.com/company/rain-artificial-intelligence,"Rain AI is a semiconductor company specializing in developing energy-efficient hardware for artificial intelligence (AI) applications. Rain AI focuses on creating neuromorphic chips inspired by the human brain's architecture. The company's hardware is designed to be more energy-efficient than traditional AI processors, addressing the growing demand for sustainable computing solutions.  Rain AI's technology is adaptable across various AI applications, from data centers to edge devices, facilitating widespread adoption."
Zilliz,https://www.crunchbase.com/organization/zilliz,"Analytics, Artificial Intelligence (AI), Database, Machine Learning, Open Source, SaaS, Software","Redwood City, California, United States",2017-05-01,month,113000000,USD,113000000,The company behind the Milvus open-source vector database,606,,525,4,2022-08-24,60000000,USD,60000000,113000000,USD,113000000,"Hillhouse Investment, Trustbridge Partners, Pavilion Capital, Green Pine Capital Partners, 5Y Capital",3,9,1,Charles Xie,101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://zilliz.com/,https://twitter.com/zilliz_universe,,https://www.linkedin.com/company/zilliz/,"Zilliz is a leading provider of open-source and commercial vector database technologies. Headquartered in San Francisco, the company is backed by prominent investors, including Aramco's Prosperity7 Ventures, Temasek's Pavilion Capital, and Hillhouse Capital. Milvus, Zilliz's open-source project, is the world's most widely adopted vector database, boasting over 33,000 GitHub stars, trusted by 10,000+ enterprises, and exceeding 100 million downloads and deployments. Zilliz also offers a fully managed, multi-cloud vector database service powered by Milvus, supporting major cloud platforms like AWS, GCP, and Azure, and available across 20+ countries and regions. Driven by a vision to empower organizations to transform unstructured data into AI-driven insights and innovation, Zilliz enables global enterprises—including Nvidia, PayPal, AT&T, Walmart, Salesforce, and IBM—to develop cutting-edge AI applications. These span diverse use cases such as retrieval-augmented generation (RAG), LLM training, image retrieval, video intelligence, recommendation systems, targeted advertising, customized search, autonomous driving, fraud detection, cybersecurity, drug discovery, and more. Learn more at zilliz.com or follow @zilliz_universe."
