Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Polymarket,https://www.crunchbase.com/organization/polymarket,"Blockchain, Cryptocurrency, Predictive Analytics","New York, New York, United States",2020-03-01,month,74000000,USD,74000000,"Polymarket is a prediction market platform where traders predict future event outcomes, reacting to news in real time.",25,,22,4,2025-07-15,,,,74000000,USD,74000000,"General Catalyst, Founders Fund, Dragonfly, Robot Ventures, New Form Capital",3,21,1,Shayne Coplan,11-50,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Software",,,Active,For Profit,https://polymarket.com,https://twitter.com/polymarket,,https://www.linkedin.com/company/polymarket,"Polymarket is a prediction market platform that allows users to bet on the outcomes of various global events using cryptocurrency. Polymarket operates on the Ethereum blockchain, utilizing the Polygon network to enhance scalability and reduce transaction costs. Users connect to the platform through an Ethereum-compatible wallet and use the USDC stablecoin to place bets on events, ranging from political outcomes to entertainment predictions​."
reAlpha,https://www.crunchbase.com/organization/realpha-tech-corp,"Artificial Intelligence (AI), Mortgage, Online Portals, PropTech, Real Estate, Real Estate Brokerage, Residential","Dublin, Ohio, United States",2020-01-01,year,229200000,USD,229200000,reAlpha is an AI enhanced real estate platform that assists in buying and selling of homes.,26,,23,8,2025-07-21,5000000,USD,5000000,29200000,USD,29200000,"Mercurius Media Capital, Crawford Hoying, Churchill Real Estate, Brent Crawford, Giri Devanur",5,5,2,"Giri Devanur, Monaz Karkaria",51-100,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Real Estate, Science and Engineering, Software",,,Active,For Profit,https://www.realpha.com/,https://twitter.com/realpha,https://www.facebook.com/reAlphaTechCorp,https://www.linkedin.com/company/realpha-tech,reAlpha is a homebuying platform that enables you to buy a home commission-free.
Writer,https://www.crunchbase.com/organization/writer,"Content, Generative AI, Natural Language Processing, Productivity Tools, Virtual Assistant","San Francisco, California, United States",2020-08-30,day,326000000,USD,326000000,Writer is a software firm that develops a full-stack generative AI platform delivering transformative ROI for enterprises.,55,,47,4,2024-11-12,200000000,USD,200000000,326000000,USD,326000000,"Insight Partners, B Capital, Radical Ventures, Salesforce Ventures, Geodesic Capital",5,38,2,"May Habib, Waseem AlShikh",101-250,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Software",,,Active,For Profit,http://writer.com,http://twitter.com/get_writer,https://www.facebook.com/WriterAI,http://www.linkedin.com/company/getwriter,"Writer is a full-stack generative AI platform that helps businesses use large language models to generate writing and content that can be used across different departments, including operations, products, sales, human resources, marketing, and more. Its platform provides an integrated system of LLMs, graph-based RAG, AI guardrails, and development tools for organizations to deploy AI apps and workflows that deliver impactful return on investment."
Voxel,https://www.crunchbase.com/organization/voxel-9173,"Artificial Intelligence (AI), Computer Vision, Industrial, Industrial Automation, Risk Management","San Francisco, California, United States",2020-10-01,day,74000000,USD,74000000,Voxel enhances workplace safety and operational efficiency by transforming existing security cameras into intelligent monitoring systems.,155,,129,4,2025-06-03,44000000,USD,44000000,74000000,USD,74000000,"Eclipse Ventures, NewRoad Capital Partners, MTech Capital, World Innovation Lab, HG Ventures",4,8,4,"Alex Kaveh Senemar, Anurag Kanungo, Harishma Dayanidhi, Troy Carlson",101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.voxelai.com,https://twitter.com/voxel_labs,,https://www.linkedin.com/company/voxelai,"Voxel develops an AI-powered platform that enhances workplace safety and operational efficiency by transforming existing security cameras into intelligent monitoring systems. The platform utilizes computer vision to detect unsafe behaviors and operational inefficiencies in real-time, enabling proactive hazard mitigation. It serves industries such as manufacturing, logistics, retail, and food and beverage by providing actionable insights through safety scoring, incident analytics, and automated alerts. Voxel's technology integrates with current infrastructure, offering features like role-based access controls and data encryption to maintain security and privacy standards. By facilitating immediate responses to potential risks, Voxel supports organizations in reducing workplace incidents and fostering a culture of safety."
BigBear.ai,https://www.crunchbase.com/organization/bigbear-ai,"Artificial Intelligence (AI), Government, Information Technology, Machine Learning, National Security, Service Industry","Fairfax, Virginia, United States",2020-01-01,year,225000000,USD,225000000,BigBear.ai's mission is to deliver clarity for the world's most complex decisions.,177,,147,2,2023-01-17,25000000,USD,25000000,25000000,USD,25000000,"Fortress Investment Group, Marathon Asset Management, Highbridge Capital Management",,3,1,Reginald Brothers,501-1000,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Other, Science and Engineering, Software",,,Active,For Profit,https://www.bigbear.ai,https://twitter.com/bigbearai,https://www.facebook.com/pg/bigbearai,https://www.linkedin.com/company/bigbearai,"BigBear.ai is a decision dominance serving the national defense and intelligence communities. The Company delivers high-end capabilities across the data and digital spectrum to deliver information superiority and decision support. BigBear.ai provides a comprehensive suite of solutions including artificial intelligence and machine learning, data science, advanced analytics, offensive and defensive cyber, data management, cloud solutions, digital engineering, and systems integration."
HeyGen,https://www.crunchbase.com/organization/heygen,"E-Learning, Generative AI, Software, Web Apps","Los Angeles, California, United States",2020-12-01,month,69000000,USD,69000000,"HeyGen is an AI video generation platform that specializes in video creation, AI avatars, and generative AI.",335,,287,2,2024-03-25,60000000,USD,60000000,69000000,USD,69000000,"Bond, Thrive Capital, Benchmark, SV Angel, Conviction VC",1,8,2,"Joshua Xu, Wayne Liang",101-250,"Apps, Artificial Intelligence (AI), Education, Software",,,Active,For Profit,https://www.heygen.com,https://twitter.com/HeyGen_Official,https://www.facebook.com/profile.php?id=100067170246249,https://www.linkedin.com/company/heygen,"HeyGen is bringing the futurist way of creating videos - by turning your text into realistic spokesperson videos in minutes, right from you broswer. No actors, cameras or editing needed.  All you need is your story to tell."
Kognitos,https://www.crunchbase.com/organization/kognitos,"Artificial Intelligence (AI), Business Development, Software","San Jose, California, United States",2020-01-01,year,53349999,USD,53349999,Kognitos is an AI platform that automates business operations using natural language.,488,,420,4,2025-06-24,25000000,USD,25000000,53349999,USD,53349999,"Alumni Ventures, Khosla Ventures, Wipro Ventures, Engineering Capital, Dentsu Ventures",4,7,1,Binny Gill,101-250,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.kognitos.com,https://x.com/Kognitos_Inc,,https://www.linkedin.com/company/kognitos,"Kognitos is an AI platform that automates business operations through neurosymbolic AI. It provides pre-built AI agents that analyze data and extract key information without requiring coding skills. Users can automate processes using plain English, making it accessible for sales teams to streamline their workflows. The platform emphasizes governance and tool consolidation, allowing organizations to enhance efficiency in their operations. Kognitos supports sales development representatives by simplifying data retrieval and analysis, enabling them to focus on strategic tasks rather than manual data management. Overall, Kognitos transforms how businesses approach automation and data handling."
Arize AI,https://www.crunchbase.com/organization/arize-ai,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Berkeley, California, United States",2020-01-13,day,131024999,USD,131024999,Arize AI offers an observability platform that explains and troubleshoots production AI.,554,,476,4,2025-02-20,70000000,USD,70000000,131024999,USD,131024999,"Battery Ventures, Adams Street Partners, Industry Ventures, The House Fund, Foundation Capital",3,15,2,"Aparna Dhinakaran, Jason Lopatecki",101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://arize.com,https://twitter.com/arizeai,https://www.facebook.com/arizeai,https://www.linkedin.com/company/arizeai,"Arize AI offers a machine learning observability platform that monitors models and provides analytics to troubleshoot production AI. The platform leverages real-time analytics and artificial intelligence to deliver comprehensive insights, allowing clients to quickly detect and resolve issues, reduce uncertainty, and drive continuous improvements."
Fieldguide,https://www.crunchbase.com/organization/fieldguide,"Accounting, Artificial Intelligence (AI), Cyber Security, Document Management, FinTech","San Francisco, California, United States",2020-04-01,month,50000000,USD,50000000,Agentic AI for Audit and Advisory.,574,,493,3,2024-03-26,30000000,USD,30000000,50000000,USD,50000000,"Y Combinator, Bessemer Venture Partners, 8VC, Floodgate, Global Founders Capital",3,8,2,"Chris Szymansky, Jin Chang",101-250,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.fieldguide.io,https://twitter.com/fieldguide,,https://www.linkedin.com/company/fieldguide-inc,"Fieldguide is a vertical AI company offering an end-to-end, agentic AI platform for audit and advisory firms. The company helps firms increase margins, win new business, and build stronger client relationships. Fieldguide is backed by leading venture capital funds, including Bessemer Venture Partners, 8VC, Floodgate, Y Combinator, Justin Kan (Twitch/justin.tv), Elad Gil, Qasar Younis (Applied Intuition), Tracy Young (PlanGrid) & more."
Parspec,https://www.crunchbase.com/organization/parspec,"Artificial Intelligence (AI), Building Material, Construction, Procurement","San Francisco, California, United States",2020-01-01,year,31500000,USD,31500000,Parspec is an AI-native software platform that streamlines B2B procurement processes within the construction supply chain.,619,,538,3,2025-07-08,20000000,USD,20000000,31500000,USD,31500000,"Innovation Endeavors, Threshold, Building Ventures, Hometeam Ventures, Heartland Ventures",2,6,2,"Forest Flager, Pratyush Havelia",101-250,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software, Transportation",,,Active,For Profit,https://parspec.io,https://twitter.com/hello_parspec,,https://www.linkedin.com/company/parspec,"Parspec offers an AI‑powered platform that streamlines product selection, quoting, and submittal processes for sales agents and distributors in the construction supply chain. It provides tools like a Product Finder that identifies spec‑compliant items, a quoting module for streamlined bid creation, and an automated solution for submittals and O&M documentation. The platform operates on a credit‑based pricing model tailored to usage and supports tiered plans with features such as guided onboarding and multi‑location support."
