Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Thinking Machines Lab,https://www.crunchbase.com/organization/thinking-machines-lab,"Artificial Intelligence (AI), Generative AI, Information Technology, Product Research, Software","San Francisco, California, United States",2025-02-01,month,2009975164,USD,2009975164,Thinking Machines Lab is an AI research and product company that aims to increase understanding and customization of AI systems.,32,,27,2,2025-06-20,2000000000,USD,2000000000,2000000000,USD,2000000000,"Andreessen Horowitz, Accel, NVIDIA, Conviction Partners, Cisco",2,9,2,"Lilian Weng, Mira Murati",11-50,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://thinkingmachines.ai,https://x.com/thinkymachines,,https://www.linkedin.com/company/thinkingmachinesai,"Thinking Machines Lab is an artificial intelligence research and product company. It aims to make AI systems more widely understood, customizable, and generally capable. The company focuses on human-AI collaboration and building multimodal systems that adapt to various human expertise."
Cluely,https://www.crunchbase.com/organization/cluely,"Artificial Intelligence (AI), Computer, Productivity Tools, Sales, Software","San Francisco, California, United States",2025-04-01,month,20300000,USD,20300000,Cluely provides AI-powered real-time assistance for various tasks.,79,,66,2,2025-06-20,15000000,USD,15000000,20300000,USD,20300000,"Andreessen Horowitz, Abstract, Susa Ventures, Karman Ventures",3,4,3,"Alex Chen, Chungin Lee, Neel Shanmugam",11-50,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://cluely.com,https://x.com/cluely,,https://www.linkedin.com/company/cluely,"Cluely is an AI tool that offers live, context-aware responses during meetings and sales calls. It can recall information from transcripts and provide product details to sales representatives. The software also assists with individual work by reading screens and responding to prompts."
Labs,https://www.crunchbase.com/organization/labscompanies,"Artificial Intelligence (AI), Augmented Reality, Blockchain, Consumer Software, Machine Learning, Metaverse, Real Estate, Social Media, Social Network, Virtual Reality","Santa Monica, California, United States",2025-01-01,month,30000000,USD,30000000,Labs is a human-enhancement technology company on a mission to help build communities and advance human capabilities.,498,,430,5,2025-04-18,22500000,USD,22500000,27500000,USD,27500000,"Davis&Davis Venture Partners, Jet Investments Group, JET VC-IRA FUND, Elz Ventures, Family of Firms",11,12,2,"Duránd F. Davis Jr., Maya Elz Davis",1-10,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Other, Real Estate, Science and Engineering, Software",,,Active,For Profit,https://lavlabs.com,https://www.twitter.com/LabsCompanies,https://www.facebook.com/LabsCompanies,https://www.linkedin.com/company/labshq,"Labs Companies, Inc. (branded and doing business as Labs) is an American global human-enhancement technology company headquartered in Santa Monica, CA. Established in 2025 through a restructuring of LavLabs Inc., Labs now serves as the parent holding company of LavLabs, itself apart of seven core family of labs: Labs Intelligence, Labs Realities, Labs Blocks, Labs Crypto, LabsX, Factory5227 and several specialized multi-labs. Each lab is dedicated to advancing human capabilities through transformative products, services, platforms, and technologies (PSPTs) in AI, digital economies, immersive realities, consumer internet, wearables and social experiences. The Labs Manifesto: Humanizing every moment on the internet. Our name “Labs” celebrates the field of Chemistry, and our test-tube emblem, Chemí (/kim-me/), reflects our commitment to innovation. At Labs, our mission is to inspire creativity with innovative-ideas that help build communities and advance human capabilities. We believe that every human on the planet could thrive greatly with equal access and opportunity to technology. Through our flagship, franchise, framework and fandom, family of brands, we create transformative human-experiences that connect humanity through creativity, community, and innovation. Our ecosystems and economies spans across a core and specialized family of labs, including Labs Financial Group (managing Labs Payments, Yuhmmy Wallet and financial solutions within the FinTaste ecosystem), Labs Investor Group (managing early-stage, growth-stage, CVC, fund-of-funds, hedge fund, mutual fund, ETF, index fund and pension fund investments through Labs Ventures, Labs Capital, Labs Investments, Labs Funds, Labs Equity and Labs Shares), Labs Realty Group (managing YuhmmyHouse, a Social-Taste Super Club and the Tastespitality Ecosystem), Labs Start Studios (Hatch Studio, Launch Studio, and Lift Studio for entrepreneurial enhancements), Labs Learn Studios (Labs University, Labs Academy, and Labs Institute for educational enhancements), Labs Entertainment (managing Yuhmmyevents and its annual Yuhmmylicious Week and CraveCon), Labs Media (managing the official podcast by Labs: TechTubeTalks, and Yuhmmy: TastefulTalks). Our inaugural family of brand is Yuhmmy, the world’s first Social-Taste Super Brand and ecosystem designed for discovering, experiencing, and sharing anything tasty. Its Yuhmmy App brings people together to explore food, drinks, sweets, snacks, and recreational flavors in fun, funny, and flavorfully engaging ways. Featuring innovative tools like Tastechat, Taste Sports, Taste Drops, Cravecash, YuhmmyAI, and Yuhmmy AR/VR, Yuhmmy empowers a revolutionary “Tasteconomy” driven by Taste Intelligence. Labs is committed to reshaping the future of human-enhancements, seamlessly merging digital and physical worlds to redefine engagement, empowerment, education and earning. Our Labs Foundations supports sustainability, S.T.E.A.M. education, and scholarships for underserved communities through 5227.org and Lifthumankind.org, committing 1% of proceeds and resources via pledge 1%."
Chaima.AI,https://www.crunchbase.com/organization/chaima-ai,"Artificial Intelligence (AI), Dating, Generative AI, Information Technology, Software Engineering","San Francisco, California, United States",2025-01-01,day,500000,USD,500000,Leveraging State-of-the-Art AI Agents to seamlessly plan luxurious dates and experiences!,"1,983",,"1,736",1,2025-05-06,500000,USD,500000,500000,USD,500000,A16Z GAMES Speedrun,1,1,3,"Jason Jiang, Jason Libbey, Keana Alabre",1-10,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://chaima.ai/about,,https://www.facebook.com/profile.php?id=61574131176363,https://www.linkedin.com/company/chaima-dev/posts/?feedView=all,
LMArena,https://www.crunchbase.com/organization/lmarena,"Artificial Intelligence (AI), Communities, Machine Learning, Product Research","San Francisco, California, United States",2025-01-01,year,100000000,USD,100000000,"LMArena focuses on building a neutral, open, community-driven platform.","3,588",,"3,141",1,2025-05-21,100000000,USD,100000000,100000000,USD,100000000,"Andreessen Horowitz, Lightspeed Venture Partners, Kleiner Perkins, Felicis, The House Fund",2,7,1,Anastasios Angelopoulos,11-50,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Design, Science and Engineering, Software",,,Active,For Profit,https://lmarena.ai,https://x.com/lmarena_ai,,https://www.linkedin.com/company/lmarena,"LM Arena provides a platform for testing AI models. LM Arena serves as an essential resource for researchers and developers worldwide. As the AI field expands, the importance of reliable benchmarking tools like LM Arena remains undeniable. The company also operates Chatbot Arena, a specialized service for evaluating artificial intelligence systems."
Ciroos,https://www.crunchbase.com/organization/ciroos,"Artificial Intelligence (AI), Software","Pleasanton, California, United States",2025-02-01,month,21000000,USD,21000000,"Ciroos provides an AI SRE Teammate that allows site reliability engineers (SREs), DevOps, and operations teams to become superheroes.","3,602",,"3,152",1,2025-06-03,21000000,USD,21000000,21000000,USD,21000000,Energy Impact Partners,1,1,3,"Amit Patel, Ananda Rajagopal, Ronak Desai",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://ciroos.ai,https://x.com/@ciroosai,,https://www.linkedin.com/company/ciroos,"Ciroos  Built from the ground up with the power of multi-agent AI, it allows operations teams to decrease toil, investigate issues, explain anomalies, and drive autonomous operations across complex multi-domain environments, all while keeping humans in control."
Blank Metal,https://www.crunchbase.com/organization/blank-metal,"Artificial Intelligence (AI), Software","Minneapolis, Minnesota, United States",2025-04-15,day,3000000,USD,3000000,Blank Metal is an AI-native engineering services company.,"4,649",,"4,073",1,2025-06-24,3000000,USD,3000000,3000000,USD,3000000,"Pure Play Partners, Rally Ventures, Traction Capital",3,3,,,11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,http://www.blankmetal.ai,,,,Blank Metal is an AI-native engineering services company that focuses on designing and integrating production-ready AI solutions for organizations.
Cedar,https://www.crunchbase.com/organization/cedar-cc0e,"Artificial Intelligence (AI), B2B, Generative AI","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Cedar AI acts as a copilot for any app, engaging users, answering questions, and driving conversions like a founder would.","7,566",,"6,678",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Isabelle Ilyia, Jesse Li",1-10,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,,Active,For Profit,https://www.cedar.law/home,,,https://www.linkedin.com/company/cedarlaw/,
Opennote,https://www.crunchbase.com/organization/opennote,"Artificial Intelligence (AI), EdTech, SaaS","San Francisco, California, United States",2025-02-01,month,850000,USD,850000,Opennote is an edtech company that offers an AI-powered platform for interactive learning experiences.,"8,834",,"7,822",1,2025-04-03,850000,USD,850000,850000,USD,850000,,,,3,"Abhi Arya, Rishi Srihari, Vedant Vyas",1-10,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",,,Active,For Profit,https://opennote.com,https://x.com/opennote_me,,https://www.linkedin.com/company/opennote/,The AI Tutor That Lives In Your Notes
Avelis Health,https://www.crunchbase.com/organization/avelis-health,"Artificial Intelligence (AI), Health Care, Medical","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Avelis Health uses AI that eliminates medical bills and fights insurance denials.,"9,663",,"8,568",1,2025-06-25,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://avelis.ai/,https://x.com/avelishealth,https://www.facebook.com/people/Avelis-Health/61574829508433/#,https://www.linkedin.com/company/avelis-ai,
