Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Harmonic,https://www.crunchbase.com/organization/harmonic-ai-f3d1,"Artificial Intelligence (AI), EdTech, Software","Palo Alto, California, United States",2023-01-01,year,175000000,USD,175000000,Harmonic develops mathematical reasoning engine designed to tackle complex mathematical problems using AI technology.,92,,76,2,2025-07-09,100000000,USD,100000000,175000000,USD,175000000,"Sequoia Capital, Paradigm, Index Ventures, Kleiner Perkins, Ribbit Capital",2,14,2,"Tudor Achim, Vlad Tenev",11-50,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",,,Active,For Profit,https://harmonic.fun,https://x.com/HarmonicMath,,https://www.linkedin.com/company/harmonicmath,"Harmonic builds mathematical superintelligence. The company develops Mathematical Superintelligence (MSI), a next-generation artificial intelligence based on mathematical principles that ensures accuracy and eliminate hallucinations."
Decagon,https://www.crunchbase.com/organization/decagon-485e,"Artificial Intelligence (AI), Generative AI, Software","San Francisco, California, United States",2023-01-01,year,231000000,USD,231000000,Decagon is a conversational AI platform that provides a centralized AI engine to resolve issues in any language and across all channels.,141,,115,4,2025-06-23,131000000,USD,131000000,231000000,USD,231000000,"Andreessen Horowitz, Accel, Bond, Forerunner, A*",3,17,2,"Ashwin Sreenivas, Jesse Zhang",101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://decagon.ai,https://x.com/DecagonAI,,https://www.linkedin.com/company/decagon-ai,"Decagon delivers a conversational AI platform that empowers teams to build, manage, and scale AI agents for omnichannel customer support. The company enables customer experience teams to design and modify AI agent behavior in real-time using natural language, while allowing technical teams to maintain full control over the underlying code. This approach allows brands to quickly launch and continuously refine AI agent interactions, combining speed and flexibility with structured code management. Businesses can deploy solutions within weeks rather than months, without depending on expensive professional services."
OpenRouter,https://www.crunchbase.com/organization/openrouter,"Artificial Intelligence (AI), Information Technology, Software","New York, New York, United States",2023-01-01,year,40000000,USD,40000000,OpenRouter is a platform that connects AI applications with large language models and cloud hosting providers.,216,,180,2,2025-06-25,40000000,USD,40000000,40000000,USD,40000000,"Andreessen Horowitz, Menlo Ventures, Sequoia Capital, Transpose Platform Management",2,4,2,"Alex Atallah, Louis Vichy",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://openrouter.ai,https://x.com/openrouterai,,https://www.linkedin.com/company/openrouter,"OpenRouter is a platform that connects AI applications with large language models and cloud hosting providers, allowing users to optimize for costs, speed, and performance.  The platform supports over 180 AI models, offers a unified API, and includes functionalities like private chat and exploratory data capabilities. OpenRouter sets the new benchmark for large-scale AI inference with its global edge infrastructure, privacy-focused design, real-time accounting, and integrated billing."
Unify,https://www.crunchbase.com/organization/unify-c19f,"Artificial Intelligence (AI), Software","San Francisco, California, United States",2023-01-01,day,69909999,USD,69909999,The world’s first warm outbound platform - book 25% more pipeline with half the effort.,230,,193,4,2025-07-15,40000000,USD,40000000,69909999,USD,69909999,"Neo, Emergence Capital, Thrive Capital, Battery Ventures, Abstract",3,10,,,11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.unifygtm.com/?utm_source=crunchbase,https://twitter.com/unifygtm,,https://www.linkedin.com/company/unifygtm/,Our vision is to reinvent how outbound sales works.
Liquid AI,https://www.crunchbase.com/organization/liquid-ai,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","Cambridge, Massachusetts, United States",2023-01-01,year,293200000,USD,293200000,Build efficient general-purpose AI at every scale.,244,,205,3,2024-12-13,250000000,USD,250000000,293200000,USD,293200000,"Automattic, Safar Partners, Samsung NEXT, Isai, Bold Capital Partners",4,25,4,"Alexander Amini, Daniela Rus, Mathias Lechner, Ramin Hasani",51-100,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,http://liquid.ai,https://twitter.com/LiquidAI_,,https://www.linkedin.com/company/liquid-ai-inc,"Liquid AI is a technology company that develops artificial intelligence solutions for various applications. It focuses on creating tools for data analysis and decision-making processes. Liquid AI serves industries such as finance, healthcare, and logistics."
Hippocratic AI,https://www.crunchbase.com/organization/hippocratic-ai,"Artificial Intelligence (AI), Generative AI, Health Care, Information Technology","Palo Alto, California, United States",2023-04-01,month,276000000,USD,276000000,Hippocratic AI is a healthcare technology company that develops safety-focused large-language models for medical applications.,248,,209,5,2025-01-09,141000000,USD,141000000,276000000,USD,276000000,"General Catalyst, Andreessen Horowitz, NVIDIA, Kleiner Perkins, SV Angel",5,13,8,"Alex Miller, Debajyoti Datta, Kim Parikh, Meenesh Bhimani, Munjal Shah, Saad Godil, Subhabrata Mukherjee, Vishal Parikh",101-250,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.hippocraticai.com,https://www.twitter.com/hippocraticai,https://www.facebook.com/hippocraticai,https://www.linkedin.com/company/hippocratic-ai-health,"Hippocratic AI develops safety-focused large language models with a focus on non-diagnostic, patient-facing applications. The majority of language models undergo pre-training using the common crawl of the Internet, which might contain inaccurate and deceptive information. In contrast, Hippocratic AI is significantly prioritizing the acquisition of evidence-based healthcare content through legal means, setting it apart from these language models."
Trustible,https://www.crunchbase.com/organization/trustible,"Artificial Intelligence (AI), Compliance, Information Technology, Risk Management, Software","Arlington, Virginia, United States",2023-01-01,year,12439998,USD,12439998,Trustible develops an AI-based governance management platform to build a trustable network and reduce risk.,264,,225,4,2025-06-10,4600000,USD,4600000,12289998,USD,12289998,"Alumni Ventures, VamosVentures, Google for Startups, Harlem Capital, Inner Loop Capital",4,20,2,"Andrew Gamino-Cheong, Gerald Iturrioz",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.trustible.ai,https://twitter.com/TrustibleAI,,https://www.linkedin.com/company/trustible,"Trustible provides a platform for managing and governing AI systems, offering tools such as AI inventory, risk management, policy frameworks, assessments, regulatory compliance, and literacy training. It centralizes AI use cases, models, data, and vendors, enabling structured assessments and workflows to address performance, security, ethical, and legal risks while aligning with frameworks like the EU AI Act, NIST AI RMF, and ISO/IEC 42001. The platform supports policy development with templates, automated compliance checks, stakeholder collaboration, and audit trails. It also streamlines proposal, review, approval, and monitoring processes to help organizations deploy AI responsibly, backed by training modules and reporting capabilities."
Mindtrip,https://www.crunchbase.com/organization/mindtrip,"Artificial Intelligence (AI), Software, Travel","San Francisco, California, United States",2023-01-01,year,19000000,USD,19000000,Mindtrip operates as an AI assistant that provide travel data that includes maps with suggested places to visit.,305,,259,2,2024-09-17,12000000,USD,12000000,19000000,USD,19000000,"Forerunner, Costanoa Ventures, American Express Ventures",2,3,10,"Andy Moss, Elsa Kawai, Garrick Toubassi, Jordan Castillo, Katherine Wang, Manish Dubey, Mika Kozma, Rob Davis, Trey Matteson, Vincent Lo",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",,,Active,For Profit,https://mindtrip.ai,,,https://www.linkedin.com/company/mindtripai,Mindtrip operates as an AI assistant that provide travel data that includes maps with suggested places to visit.
Delve,https://www.crunchbase.com/organization/delve-8733,"Artificial Intelligence (AI), Compliance, SaaS, Software","San Francisco, California, United States",2023-01-01,year,35800000,USD,35800000,"Delve provides a platform that automates compliance processes for SOC 2, HIPAA, ISO, and GDPR.",332,,284,3,2025-07-22,32000000,USD,32000000,35800000,USD,35800000,"General Catalyst, Insight Partners, Y Combinator, FundersClub, Soma Capital",2,5,2,"Karun Kaushik, Selin Kocalar",11-50,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.delve.co,https://twitter.com/getdelve,,https://www.linkedin.com/company/getdelve,"Delve offers an AI-powered compliance platform that automates evidence collection and audit workflows for frameworks like SOC 2, HIPAA, ISO 27001, GDPR, and PCI DSS. The platform deploys intelligent agents that navigate internal systems, capture screenshots, autofill vendor questionnaires, and continuously monitor infrastructure for compliance gaps. Delve tailors automation to each organization’s context, reducing manual tasks across email, shared drives, and spreadsheets. The solution integrates deeply with company systems, enabling dynamic evidence gathering and real-time alerts to support deal timelines and limit compliance risk."
Skild AI,https://www.crunchbase.com/organization/skild-ai,"Artificial Intelligence (AI), Information Technology, Robotics","Pittsburgh, Pennsylvania, United States",2023-01-01,year,435000000,USD,435000000,Skild AI is a startup that develops software to power various robots.,426,,368,2,2025-06-11,135000000,USD,135000000,435000000,USD,435000000,"General Catalyst, Menlo Ventures, Sequoia Capital, NVIDIA, Samsung Electronics",7,18,2,"Abhinav Gupta Abhinav Gupta, Deepak Pathak",11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.skild.ai,https://x.com/SkildAI,https://www.facebook.com/SkildAI,https://www.linkedin.com/company/skild-ai,"Skild AI is a startup focused on developing machine learning algorithms specifically for robotics, aiming to create a scalable AI foundation model to enhance robotic intelligence in various environments.  The company aims to address labor shortages with a general-purpose brain for robots that continuously adapts to its environment."
Xaira Therapeutics,https://www.crunchbase.com/organization/xaira-therapeutics,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","South San Francisco, California, United States",2023-01-01,year,1000000000,USD,1000000000,Xaira Therapeutics is an integrated biotechnology company driving advances in artificial intelligence.,688,,601,1,2024-04-23,1000000000,USD,1000000000,1000000000,USD,1000000000,"Menlo Ventures, Sequoia Capital, Lightspeed Venture Partners, New Enterprise Associates, Lux Capital",2,13,6,"Arvind Rajpal, David Baker, Don Kirkpatrick, Hetu Kamisetty, Joe Watchwell Watson, Marc Tessier-Lavigne",51-100,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://xaira.com,,,https://www.linkedin.com/company/xaira-therapeutics,"Xaira Therapeutics is an integrated biotechnology company driving advances in artificial intelligence to learn the language of life and transform how we treat disease. The company seeks to rethink the drug discovery and development process from end-to-end by bringing together leading talent across three core areas: machine learning research to better understand biology, expansive data generation to power new models, and robust therapeutic product development to treat disease. Xaira is headquartered in the San Francisco Bay Area."
Vellum,https://www.crunchbase.com/organization/vellum-74f3,"Artificial Intelligence (AI), Developer Platform, Information Technology, Software","New York, New York, United States",2023-01-01,year,25500000,USD,25500000,Vellum is a provider of an enterprise development platform for building mission-critical AI products.,704,,615,3,2025-07-10,20000000,USD,20000000,25500000,USD,25500000,"Y Combinator, Pioneer Fund, Rebel Fund, TwentyTwo VC, Leaders Fund",2,11,3,"Akash Sharma, Noa Flaherty, Sidd Seethepalli",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.vellum.ai,https://x.com/vellum_ai,,https://www.linkedin.com/company/vellumai,"Vellum is a provider of an enterprise development platform for building mission-critical AI products. The company equips cross-functional teams with a centralized control panel to orchestrate end-to-end AI workflows by connecting models, tools, and business data in one place to streamline the path to production. The platform combines workflow orchestration, evaluations and testing, deployment, and monitoring in one system, allowing organizations to build complex AI systems that produce consistent results."
Mercor,https://www.crunchbase.com/organization/mercor-dde3,"Artificial Intelligence (AI), Machine Learning, Recruiting, Software","San Francisco, California, United States",2023-01-01,day,133600000,USD,133600000,Mercor is an AI-based hiring platform designed to improve the recruitment process for both job seekers and companies.,772,,676,3,2025-02-20,100000000,USD,100000000,133600000,USD,133600000,"General Catalyst, Menlo Ventures, Felicis, Link Ventures, SignalRank",3,17,3,"Adarsh Hiremath, Brendan Foody, Surya Midha",101-250,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,http://mercor.com,https://x.com/mercor_ai,https://www.facebook.com/MercorSoftware,https://www.linkedin.com/company/mercor-ai,"Mercor is a tech company that focuses on helping individuals secure jobs through its AI-driven platform. It leverages artificial intelligence to match job seekers with potential employers by analyzing skills and experiences, reducing the time spent job searching. Users complete a 20-minute interview and can apply to numerous companies simultaneously, streamlining the recruitment process for both candidates and businesses."
