Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Runway,https://www.crunchbase.com/organization/runwayml,"Apps, Artificial Intelligence (AI), Generative AI, Machine Learning, Software, Video Editing","New York, New York, United States",2018-01-01,day,544500000,USD,544500000,Runway is a global AI research and technology company building foundational research models and tools to create multimodal world simulators.,62,,52,7,2025-04-03,308000000,USD,308000000,544500000,USD,544500000,"General Atlantic, NVIDIA, Google, Coatue, Lux Capital",6,21,3,"Alejandro Matamala Ortiz, Anastasis Germanidis, Cristobal Valenzuela Barrera",101-250,"Apps, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video",,,Active,For Profit,https://runwayml.com,https://x.com/runwayml,https://www.facebook.com/runwayml,https://www.linkedin.com/company/runwayml,Runway is a global AI research and technology company building foundational AI research models and tools to create multimodal simulators of the world.
Vanta,https://www.crunchbase.com/organization/vanta,"Artificial Intelligence (AI), Compliance, Cyber Security, Internet, Software","San Francisco, California, United States",2018-01-01,year,503000000,USD,503000000,Vanta is a trust management platform that automates compliance and risk management.,121,,99,7,2025-07-23,150000000,USD,150000000,503000000,USD,503000000,"Pear VC, Sequoia Capital, South Park Commons, Craft Ventures, Wellington Management",5,20,2,"Christina Cacioppo, Erik Goldman",501-1000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://vanta.com,https://x.com/TrustVanta,https://www.facebook.com/TrustVanta,https://www.linkedin.com/company/vanta-security,Vanta is a trust management platform that simplifies security and compliance processes for organizations. It automates evidence collection for various compliance frameworks and offers continuous control monitoring to manage risk effectively. The platform supports sales teams by providing real-time insights that enhance trust and streamline security reviews.
Astronomer,https://www.crunchbase.com/organization/astronomer,"Analytics, Big Data, Data Integration, Machine Learning, Software","New York, New York, United States",2018-01-01,year,375900000,USD,375900000,"Astronomer is a data orchestration platform built on Apache Airflow, enabling teams to build, run, and monitor data pipelines at scale.",129,,106,9,2025-05-01,93000000,USD,93000000,375900000,USD,375900000,"Insight Partners, Venrock, 500 Global, Sierra Ventures, Bain Capital Ventures",7,24,4,"Greg Neiheisel, Pete DeJoy, Ry Walker, Tim Brunk",251-500,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",,,Active,For Profit,https://www.astronomer.io,https://x.com/astronomerio,https://www.facebook.com/astronomerio,https://www.linkedin.com/company/astronomer,"Astronomer provides a data orchestration platform that focuses on Apache Airflow, enabling users to deploy and manage complex data workflows efficiently. The platform allows sales teams to streamline their data processes, facilitating better decision-making and improved operational efficiency. Astronomer simplifies the integration of various data sources, ensuring that teams can access and analyze information quickly. By automating repetitive tasks, the platform allows users to concentrate on critical analysis and strategic initiatives. This approach enhances productivity and supports data-driven decision-making within organizations."
Kalshi,https://www.crunchbase.com/organization/kalshi,"Finance, Financial Services, FinTech, Internet, Predictive Analytics","New York, New York, United States",2018-01-01,year,265150000,USD,265150000,Kalshi is an exchange app that allows people to trade on event outcomes.,301,,256,4,2025-06-25,185000000,USD,185000000,215150000,USD,215150000,"Y Combinator, Bond, Sequoia Capital, Paradigm, SV Angel",3,18,2,"Luana Lopes Lara, Tarek Mansour",51-100,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Software",,,Active,For Profit,https://kalshi.com,https://x.com/kalshi,https://web.facebook.com/TradeWithKalshi,https://www.linkedin.com/company/kalshi,"Kalshi is a federally regulated financial exchange that allows investors to trade directly on the anticipated outcome of future events. Kalshi’s markets cover a wide range of topics including economics, international affairs, media and entertainment, climate/weather, and public health. Because Kalshi’s market topics can be more specific than other instruments like stocks or bonds, investors can get direct exposure to the events and trends that they are interested in. For example, a Kalshi market on whether a certain free trade agreement will be signed can help retail investors get exposure to emerging markets and fluctuations in international trade. Website: https://kalshi.com"
VERSES,https://www.crunchbase.com/organization/verses,"Artificial Intelligence (AI), Intelligent Systems, Internet of Things, Machine Learning, Software","Los Angeles, California, United States",2018-09-19,day,75956367,USD,75956367,VERSES is a cognitive computing company building next-generation intelligent software systems modeled after the wisdom and genius of Nature.,310,,263,10,2025-07-09,7000331,USD,7000331,65956367,USD,65956367,"G42, DecentraNet, Pyfera Growth Capital",2,3,4,"Capm Petersen, Dan Mapes, Gabriel Rene, Steven Swanson",101-250,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.verses.ai,https://twitter.com/helloverses,https://www.facebook.com/helloverses,https://www.linkedin.com/company/helloverses/,"VERSES is a cognitive computing company building next-generation intelligent software systems modeled after the wisdom and genius of Nature.  Designed around first principles found in science, physics and biology, our flagship product, Genius™, is a toolkit for developers to generate intelligent software agents that enhance existing applications with the ability to reason, plan, and learn.  Imagine a Smarter World that elevates human potential through technology inspired by Nature."
SuperAnnotate,https://www.crunchbase.com/organization/superannotate-ai,"Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Generative AI, Machine Learning, Natural Language Processing, SaaS, Software","San Mateo, California, United States",2018-08-01,month,67000000,USD,67000000,"SuperAnnotate is an AI data platform that unifies AI pipeline and simplifies dataset creation, curation, and model evaluation.",415,,357,6,2025-07-15,13500000,USD,13500000,67000000,USD,67000000,"Plug and Play, Base10 Partners, NVIDIA, Berkeley SkyDeck Fund, SmartGateVC",4,13,4,"Davit Badalyan, Jason Liang, Tigran Petrosyan, Vahan Petrosyan",101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,,Active,For Profit,https://superannotate.com,https://twitter.com/superannotate,https://www.facebook.com/superannotate/,https://www.linkedin.com/company/superannotate/,"SuperAnnotate is the world's leading platform for building the highest-quality training datasets for Generative AI, LLMs, Computer vision, and NLP. With advanced tooling and QA, ML and automation features, data curation, Orchestration, and integrated workforce marketplace, we enable machine learning teams to build and manage incredibly accurate datasets and successful ML pipelines 10x faster."
Abridge,https://www.crunchbase.com/organization/abridge-d1a4,"Artificial Intelligence (AI), Health Care, Intelligent Systems, Machine Learning, Medical","Pittsburgh, Pennsylvania, United States",2018-01-01,year,757500000,USD,757500000,Abridge is an AI-driven platform that transforms patient-clinician conversations into structured clinical notes for healthcare industries.,595,,514,9,2025-06-24,300000000,USD,300000000,757500000,USD,757500000,"Andreessen Horowitz, Khosla Ventures, Bessemer Venture Partners, IVP, Lightspeed Venture Partners",9,32,3,"Florian Metze, Sandeep Konam, Shivdev Rao",251-500,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.abridge.com,https://x.com/AbridgeHQ,https://www.facebook.com/AbridgeHQ,https://www.linkedin.com/company/abridgehq,"Abridge provides an AI platform that transforms patient-clinician conversations into structured, billable clinical notes. This technology aims to reduce documentation burdens for clinicians and nurses. The system integrates into existing healthcare workflows and electronic health record systems."
Hammerspace,https://www.crunchbase.com/organization/hammerspace-4936,"Artificial Intelligence (AI), Cloud Data Services, Cloud Storage, Data Management, Data Storage","San Mateo, California, United States",2018-01-01,year,156700000,USD,156700000,Hammerspace is a data platform that obliterates data access delays for AI and high-performance computing.,601,,520,2,2025-04-16,100000000,USD,100000000,156700000,USD,156700000,"ARK Investment Management, Altimeter Capital, Prosperity7 Ventures, Pier 88 Investment Partners, ICU Ventures",3,5,3,"David Flynn, Douglas Fallstrom, Trond Myklebust",101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://hammerspace.com,https://twitter.com/Hammerspace_Inc,https://www.facebook.com/HammerspaceInc,https://www.linkedin.com/company/hammerspace,"​Hammerspace is a data orchestration company that provides a global data environment , enabling enterprises to access and manage unstructured data seamlessly across on-premises data centers, public clouds, and edge infrastructures. Hammerspace aims to eliminate data silos and facilitate high-performance, globally distributed data access for applications and users."
Abnormal AI,https://www.crunchbase.com/organization/abnormal-security,"Artificial Intelligence (AI), Cyber Security, Email, Information Technology, Network Security","Las Vegas, Nevada, United States",2018-04-01,month,534000000,USD,534000000,Abnormal AI is the leading AI-native human behavior security platform.,702,,613,5,2024-08-06,250000000,USD,250000000,534000000,USD,534000000,"Insight Partners, Menlo Ventures, Wellington Management, Ballistic Ventures, Greylock",5,8,2,"Evan Reiser, Sanjay Jeyakumar",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://abnormal.ai/,,,https://www.linkedin.com/company/abnormal-ai/,"Abnormal AI is the leading AI-native human behavior security platform, leveraging machine learning to stop sophisticated inbound attacks and detect compromised accounts across email and connected applications."
Aqtual,https://www.crunchbase.com/organization/aqtual,"Biotechnology, Health Care, Machine Learning, Wellness","Hayward, California, United States",2018-01-01,year,47000000,USD,47000000,"Aqtual is a biotechnology diagnostics platform that provides healthcare solutions, novel technology, and biochemistry for chronic disease.",732,,641,3,2025-07-10,31000000,USD,31000000,47000000,USD,47000000,"Bold Capital Partners, Genoa Ventures, Manta Ray Ventures, Yu Galaxy, BOLD Longevity Growth Fund",3,5,1,Diana Abdueva,11-50,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://aqtual.com,,,https://www.linkedin.com/company/aqtual,"Aqtual is a biotechnology diagnostics platform that provides healthcare solutions, novel technology, and biochemistry for chronic disease. The company utilizes a novel cell-free DNA-based platform that evaluates protein regulation, epigenetics, and transcriptomics solely using cell-free DNA fragments found in the blood. The platform also yields efficient and robust real-time analysis of disease and treatment while overcoming the limitations of previous cell-free DNA methodologies."
